Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,-6.15883715000442,1.3451832881935033,4.68462858179509e-06
s1,World GVC,-6.15883715000442,1.3451832881935033,4.68462858179509e-06
s2,transport,-0.4918953946919464,0.5909756832778055,0.40521448582989594
s2,World GVC,-0.4918953946919464,0.5909756832778055,0.40521448582989594
s6,transport,-6.638688257220255,1.2461753396296282,9.971058093396809e-08
s6,World GVC,-6.638688257220255,1.2461753396296282,9.971058093396809e-08
s10,transport,-6.087642357228605,1.458599744531625,2.9979647249988434e-05
s10,World GVC,-6.087642357228605,1.458599744531625,2.9979647249988434e-05
s1,transport,-62.025340209930135,13.41632200006404,3.780008882560702e-06
s1,World GVC,-62.025340209930135,13.41632200006404,3.780008882560702e-06
s2,transport,-4.795436996268096,3.761294727714954,0.20232936017201553
s2,World GVC,-4.795436996268096,3.761294727714954,0.20232936017201553
s6,transport,-62.48078739088027,15.6487272030588,6.532318153766816e-05
s6,World GVC,-62.48078739088027,15.6487272030588,6.532318153766816e-05
s10,transport,-18.160623883215784,3.3873298296084573,8.260727892728053e-08
s10,World GVC,-18.160623883215784,3.3873298296084573,8.260727892728053e-08
