,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff,country
3,1991,-0.0041484935902927,-0.0070794657154326,-0.0013811912383606,-0.0001493250439025,-0.0051842538236381,0.0,7.0,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.059060336318957,-0.0003382151314234,1
6,1991,-0.00550583175735,-0.0065541291467534,-0.0088012831567549,-0.0009044713851713,-0.0144160375294979,0.0,7.0,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0455890728858955,0.0010584857772286,2
7,1991,-0.0044173230889131,0.0039507356597721,-0.0011283155086921,-0.0005229382843933,-0.0026939328800512,0.0,7.0,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0540007801071088,-0.0002921927745807,3
10,1991,0.0014655176761265,-0.0004520672962694,0.0011126961876398,0.0004182321410768,-0.0034251989403892,0.0,7.0,-0.011807567,0.09752781,0.00814521,0.16698068,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.000144042,0.000144039,-0.00530684,-0.031692594,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0444589547873445,-0.0084617034386534,5
11,1991,-0.0001217687753069,-0.03735846696332,-0.0004749059407153,0.0014416720872667,-0.0005180535458176,0.0,7.0,0.023317514,0.08964238,0.04552119,0.16392769,0.01,0.040271357,0.001068,0.004146,0.001522,0.0,0.0,0.00012286,0.00012286,-0.002113208,-0.005829521,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0511596887996366,-0.0001014957262203,6
13,1991,0.0038798141872588,-0.0010462517886868,-4.323885113561958e-05,-0.0001121649888779,0.0004661846987096,1.0,7.0,0.025492407,0.0863705,0.053925063,0.16698153,0.0015,0.04310799,0.002951,0.005158,0.002977,0.0,0.0,0.000236176,0.000236172,-0.00549379,0.018985786,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0565834578617173,0.0020059041448204,8
14,1991,0.00410235687865,0.0034389751443478,0.0006161355095719,-0.0007023623720013,-0.0001770378476257,0.0,7.0,0.014750048,0.09210789,0.058003675,0.16392769,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.52e-05,3.52e-05,-0.002113208,-0.005028772,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0526665796416028,-0.0003161461818878,9
15,1991,0.0005908157327884,-0.0015165713508553,4.426032520741998e-05,-7.317575778371336e-05,0.0002026930516458,0.0,7.0,0.014734026,0.084877774,0.037816763,0.16698153,0.008,-0.095670156,0.007871999,0.005544,0.007905,0.0,0.0,0.000313021,0.000313021,-0.00549379,0.009892043,0.003,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0488217432191173,0.0001413742163949,10
16,1991,-0.0006958301597671,0.0007029441694791,0.0001024386856529,1.6436593650256764e-05,-0.0003113906677002,0.0,7.0,0.06420757,0.09064417,0.034520198,0.16698153,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.000330791,0.000330798,-0.00549379,0.049520146,0.001,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0294450045714764,-7.281762778569775e-05,11
17,1991,0.000140376533483,0.0014283715413204,0.0002707928659633,1.1998179867852969e-05,0.0005304080841272,0.0,7.0,0.010073495,0.11644036,0.06746869,0.15959682,0.008,-0.095670156,0.000454,0.00209,0.000925,0.01,0.0,0.000228249,0.000228249,-0.006785229,-0.003773195,0.0055,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0360878133988081,-5.445128869970006e-05,12
