gvc_type,outcome,treatment,instrument,tau_hat,std_hat,p_val,fixed_effects,stationary_controls
backward,onset2COWCS,treat_fuel,iv_transport,-0.0401,0.9533,0.9664,True,True
backward,onset2COWCS,treat_fuel,iv_transport,-0.0679,0.4314,0.8749,True,False
backward,onset2COWCS,treat_fuel,iv_transport,-0.1182,1.1266,0.9164,False,True
backward,onset2COWCS,treat_fuel,iv_transport,0.1889,0.5037,0.7076,False,False
backward,onset2COWCS,treat_fuel,iv_fuel,-0.0611,0.2891,0.8326,True,True
backward,onset2COWCS,treat_fuel,iv_fuel,-0.0523,0.2726,0.8479,True,False
backward,onset2COWCS,treat_fuel,iv_fuel,-0.053,0.2642,0.8409,False,True
backward,onset2COWCS,treat_fuel,iv_fuel,-0.0546,0.2932,0.8522,False,False
backward,onset2COWCS,treat_agri,iv_transport,0.5269,1.9468,0.7866,True,True
backward,onset2COWCS,treat_agri,iv_transport,0.9574,4.4824,0.8309,True,False
backward,onset2COWCS,treat_agri,iv_transport,0.4957,1.4789,0.7375,False,True
backward,onset2COWCS,treat_agri,iv_transport,0.4953,1.3469,0.7131,False,False
backward,onset2COWCS,treat_agri,iv_agri,-0.0485,0.0275,0.0775,True,True
backward,onset2COWCS,treat_agri,iv_agri,-0.0519,0.0287,0.0703,True,False
backward,onset2COWCS,treat_agri,iv_agri,-0.0509,0.0299,0.0883,False,True
backward,onset2COWCS,treat_agri,iv_agri,-0.0547,0.0314,0.0816,False,False
backward,onset2COWCS,treat_metal,iv_transport,0.7862,4.3452,0.8564,True,True
backward,onset2COWCS,treat_metal,iv_transport,0.1778,0.4801,0.7112,True,False
backward,onset2COWCS,treat_metal,iv_transport,0.2943,0.4999,0.556,False,True
backward,onset2COWCS,treat_metal,iv_transport,0.2599,0.4791,0.5875,False,False
backward,onset2COWCS,treat_metal,iv_metal,-0.0046,0.0258,0.8598,True,True
backward,onset2COWCS,treat_metal,iv_metal,-0.003,0.026,0.9069,True,False
backward,onset2COWCS,treat_metal,iv_metal,-0.0062,0.0277,0.8229,False,True
backward,onset2COWCS,treat_metal,iv_metal,-0.0051,0.0282,0.8559,False,False
backward,onset2COWCS,treat_mine,iv_transport,-0.1793,0.2756,0.5153,True,True
backward,onset2COWCS,treat_mine,iv_transport,-0.1547,0.2715,0.5689,True,False
backward,onset2COWCS,treat_mine,iv_transport,-0.3863,1.1816,0.7437,False,True
backward,onset2COWCS,treat_mine,iv_transport,-0.1603,0.2769,0.5626,False,False
backward,onset2COWCS,treat_mine,iv_mine,-0.0221,0.0361,0.5408,True,True
backward,onset2COWCS,treat_mine,iv_mine,-0.0244,0.035,0.4851,True,False
backward,onset2COWCS,treat_mine,iv_mine,-0.0255,0.036,0.4783,False,True
backward,onset2COWCS,treat_mine,iv_mine,-0.0238,0.037,0.5194,False,False
