country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,1,2,6,10,19
ABW,1991,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.005542085,,-0.005151372,0.004995161,-0.001363974,0.089503482,-0.01034601
ABW,1992,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.008693755,,0.004372107,0.004558777,-0.000564142,0.022612674,0.00911944
ABW,1993,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.00150393,,-0.014321764,-0.009150774,-0.001317229,0.001183272,-0.008316985
ABW,1994,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.00292021,,-0.010994689,-0.004877371,-0.001834421,0.057373525,-0.009152191
ABW,1995,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.006439269,,0.01569891,0.004426856,0.001050836,0.12127074,0.002537001
ABW,1996,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.001482815,,0.01005717,-0.010774418,-0.001875278,0.036591812,-0.003448956
ABW,1997,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.004356921,,0.024885535,0.00514862,-0.002017373,-0.115000024,-0.008059157
ABW,1998,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.008288056,,-0.039654904,-0.032268425,-0.002890943,-0.531514741,-0.006693077
ABW,1999,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.002353162,,-0.004360885,-0.001549487,-0.000113697,-0.016323989,-0.000410625
ABW,2000,0.0,8.0,,,,0.004107,0.003889,,0.0,,,-0.01221785,,-0.027717723,-0.046528731,-0.001144392,-0.066384199,-0.005432268
ABW,2001,0.0,8.0,,,,0.004107,0.003889,,0.0,,,-0.001362011,,0.062260883,0.033654907,0.000263094,0.028122795,-0.000409206
ABW,2002,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.006218895,,0.007407695,0.00208938,7.9227e-05,0.008607393,-0.000677495
ABW,2003,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.00173071,,0.00152372,0.052914637,0.000935367,-0.010412162,0.002408782
ABW,2004,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.005054817,,0.000691001,0.044972549,0.00039918,0.010386307,0.002400369
ABW,2005,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.00948821,,0.008249835,0.02035451,0.000421066,0.00774205,0.002344961
ABW,2006,,8.0,,,,0.004107,0.003889,,,,,-0.020339489,,0.014316539,0.062147875,0.001244932,0.01605912,0.004776268
ABW,2007,,8.0,,,,0.004107,0.003889,,,,,0.00497058,,0.018616848,0.050755007,0.00099544,0.006549772,0.002770578
ABW,2008,,8.0,,,,0.004107,0.003889,,,,,0.012528509,,0.022019722,0.059014511,0.000974877,0.011998333,0.005245329
AFG,1991,,7.0,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,0.000412478,0.000512352,0.000249963,0.003657294,0.001148406
AFG,1992,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000927858,0.000927862,0.014553875,-0.08698502,0.000864368,0.000491954,0.000320901,0.003827211,0.001368848
AFG,1993,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.001185417,0.00118541,-0.004938737,-0.14680825,0.001554968,0.001356147,0.000328905,0.003519518,0.0010439
AFG,1994,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000799477,0.000799485,0.005665898,-0.11196112,0.003380198,0.002328504,0.00057169,0.005810655,0.002002486
AFG,1995,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000481099,0.000481091,-0.006473035,0.19521272,0.000270037,-0.001304507,-5.8333e-05,-0.000636603,-0.000945823
