country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,1,2,6,10,19
ABW,1991,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.005542085,,0.005012872,-0.005746131,0.0020512,-0.063026838,0.001812022
ABW,1992,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.008693755,,-0.006329691,-0.028218065,-0.000663646,-0.099768828,0.001542099
ABW,1993,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.00150393,,0.00453735,0.016739585,0.000662309,0.032292694,-0.000843844
ABW,1994,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.00292021,,0.021965754,-0.001248386,0.001952238,-0.02015484,0.000902864
ABW,1995,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.006439269,,0.006880859,0.019844639,0.00160195,-0.264218065,0.001183755
ABW,1996,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.001482815,,-0.02068296,0.031305455,0.001875584,0.407227196,-0.001830889
ABW,1997,0.0,7.0,,,,0.004107,0.003889,,0.0,,,-0.004356921,,-0.039183503,-0.019395156,0.000693113,0.453558794,-0.001630534
ABW,1998,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.008288056,,0.030152432,0.076408526,0.00943858,0.384378124,0.001391795
ABW,1999,0.0,7.0,,,,0.004107,0.003889,,0.0,,,0.002353162,,0.004715781,0.003540682,-0.000685538,0.003776364,-0.000883459
ABW,2000,0.0,8.0,,,,0.004107,0.003889,,0.0,,,-0.01221785,,0.033835391,0.043047696,0.001719132,0.006798679,-0.001284187
ABW,2001,0.0,8.0,,,,0.004107,0.003889,,0.0,,,-0.001362011,,-0.08362206,-0.024806403,-0.002177414,-0.001644854,0.007797198
ABW,2002,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.006218895,,-0.005046245,-0.004353663,0.000170218,-0.00140849,-0.000414078
ABW,2003,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.00173071,,0.015670474,-0.137742627,-0.002460247,0.005227865,0.001260502
ABW,2004,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.005054817,,0.004441289,-0.121492928,0.000230573,0.000448216,0.001787535
ABW,2005,0.0,8.0,,,,0.004107,0.003889,,0.0,,,0.00948821,,-0.009860155,-0.062159812,0.000479549,-0.000325358,0.000484486
ABW,2006,,8.0,,,,0.004107,0.003889,,,,,-0.020339489,,-0.003592776,-0.156236111,-0.001469207,-0.000523899,0.000207836
ABW,2007,,8.0,,,,0.004107,0.003889,,,,,0.00497058,,-0.001284163,-0.113376987,-0.003680645,-0.001422763,5.5157e-05
ABW,2008,,8.0,,,,0.004107,0.003889,,,,,0.012528509,,-0.013080066,-0.135797494,-0.000679593,-0.00065825,0.001388553
AFG,1991,,7.0,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,0.004180882,0.000827332,5.6618e-05,-1.0244e-05,0.000176628
AFG,1992,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000927858,0.000927862,0.014553875,-0.08698502,0.005469721,0.001961495,0.000277314,5.2719e-05,0.000625295
AFG,1993,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.001185417,0.00118541,-0.004938737,-0.14680825,0.004583875,0.004599215,0.000566524,0.000218775,0.000622692
AFG,1994,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000799477,0.000799485,0.005665898,-0.11196112,0.009096812,0.005984921,0.000927042,0.00028173,0.001419584
AFG,1995,,7.0,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000481099,0.000481091,-0.006473035,0.19521272,-0.002391066,-0.007024627,-0.000598097,-0.000381991,-0.00024596
AFG,1996,,7.0,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000319734,0.000319738,-0.01033093,0.019189585,0.002582711,0.000816518,0.00073846,8.4219e-05,0.000657745
AFG,1997,,7.0,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.0003049,0.0003049,0.006542966,0.020754598,-0.001148496,0.002278342,0.001117335,0.000155761,0.000908789
AFG,1998,,7.0,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000303701,0.000303701,0.000636175,0.020806532,-0.014237057,0.001965035,0.00084504,0.000115286,0.00069371
AFG,1999,,7.0,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000315033,0.000315029,0.007604823,0.019623987,0.001183916,0.00121553,0.000358759,5.4705e-05,0.000456181
AFG,2000,,8.0,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000106037,0.000106037,-0.00765264,-0.018002197,-0.006859632,-0.003436701,-1.868e-05,-0.000181088,6.6976e-05
AFG,2001,,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,4.14e-05,4.14e-05,-0.004730657,-0.11119027,0.011658381,-0.002625233,-0.001371737,-2.305e-05,-0.001042163
AFG,2002,0.0,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000516087,0.000516091,0.009055123,0.21386774,-0.003679766,-0.001699173,-0.000381013,-0.00010525,-0.000565464
AFG,2003,0.0,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000685155,0.000685148,-0.001570508,0.07289599,0.012605848,-0.00548626,-0.000169198,6.3602e-05,0.000960978
AFG,2004,0.0,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000523135,0.000523143,0.007655501,0.0174966,0.000391492,-0.002675265,-0.000356393,-5.0067e-05,-0.000291797
AFG,2005,1.0,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.000484437,0.000484433,0.010764346,0.09863638,-0.002889767,-0.00185184,-0.000300833,-8.5489e-05,-0.000514799
AFG,2006,,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,,0.000369966,0.00036997,-0.031067744,0.035256762,0.002070759,-0.002543801,-0.000171417,1.3346e-05,6.5913e-05
AFG,2007,,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,,0.00026466,0.00026466,0.013120458,0.08425269,-0.004845336,-0.001993318,-0.000572842,-0.000192366,-0.000894214
AFG,2008,,8.0,,0.041835755,0.007693,0.002717,0.006141,0.0,,0.000262581,0.000262577,0.007430449,-0.000227359,0.004660789,-0.00028282,0.000391267,0.000197113,0.001000805
AGO,1991,,7.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,-0.001351035,-0.002974912,-0.000933657,-0.000488795,-0.002293888
AGO,1992,,7.0,0.005,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000284299,0.000284296,0.008670673,-0.050390847,0.001862672,0.001247457,0.00106394,0.000435658,0.006209617
AGO,1993,,7.0,0.0045,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000253484,0.00025348,-0.000660881,-0.30103725,0.001102009,0.002216238,0.001470516,0.000536033,0.004539372
AGO,1994,,7.0,0.0045,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000227176,0.000227176,0.002074868,-0.022303127,0.004646663,0.003330443,0.003400276,0.001621443,0.007887414
AGO,1995,0.0,7.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000265561,0.000265561,-0.005631894,0.062128954,0.010086096,0.014939281,0.008201929,0.003887845,0.013234028
AGO,1996,0.0,7.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000242785,0.000242788,0.000689119,0.07271024,-0.00041557,-0.001821183,0.00141052,0.000414438,-0.002438834
AGO,1997,0.0,7.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000210166,0.000210168,-0.003868058,0.043859735,-0.006216874,-0.007181516,-0.004336389,-0.002150779,-0.003050808
AGO,1998,1.0,7.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000184573,0.000184571,0.008109883,0.035723075,0.000709612,0.001420357,0.004457073,0.00386789,-0.002346659
AGO,1999,,7.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.00017406,0.000174059,0.002867341,0.00248188,0.004511114,0.004281422,0.002677875,-6.1791e-05,0.005953001
AGO,2000,,8.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.00015717,0.000157168,-0.012854397,0.001128996,-0.008141838,-0.007944598,-0.000461277,-0.000297453,-0.001007157
AGO,2001,,8.0,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000154071,0.000154071,-0.000834256,0.002560077,-4.2606e-05,-0.00301093,-0.002868054,-0.001417503,-0.001195197
AGO,2002,0.0,8.0,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000208579,0.000208585,0.005836621,0.10762416,0.000378014,0.000734412,0.000957123,0.000204466,-0.001865119
