gvc_type,outcome,treatment,instrument,tau_hat,std_hat,p_val,fixed_effects,stationary_controls
forward,onset2COWCS,treat_fuel,iv_transport,0.0578,0.1772,0.744,True,True
forward,onset2COWCS,treat_fuel,iv_transport,0.0555,0.1813,0.7594,True,False
forward,onset2COWCS,treat_fuel,iv_transport,0.138,0.1693,0.4152,False,True
forward,onset2COWCS,treat_fuel,iv_transport,0.0021,0.1551,0.989,False,False
forward,onset2COWCS,treat_fuel,iv_fuel,0.0764,0.0777,0.3253,True,True
forward,onset2COWCS,treat_fuel,iv_fuel,0.0795,0.081,0.3266,True,False
forward,onset2COWCS,treat_fuel,iv_fuel,0.0789,0.079,0.318,False,True
forward,onset2COWCS,treat_fuel,iv_fuel,0.071,0.074,0.3375,False,False
forward,onset2COWCS,treat_agri,iv_transport,0.2498,0.1978,0.2066,True,True
forward,onset2COWCS,treat_agri,iv_transport,0.2901,0.2406,0.228,True,False
forward,onset2COWCS,treat_agri,iv_transport,0.3486,0.3397,0.3048,False,True
forward,onset2COWCS,treat_agri,iv_transport,0.2872,0.2256,0.2031,False,False
forward,onset2COWCS,treat_agri,iv_agri,-0.01,0.0245,0.6841,True,True
forward,onset2COWCS,treat_agri,iv_agri,-0.0109,0.0254,0.6675,True,False
forward,onset2COWCS,treat_agri,iv_agri,-0.0123,0.0266,0.6453,False,True
forward,onset2COWCS,treat_agri,iv_agri,-0.0141,0.0266,0.5978,False,False
forward,onset2COWCS,treat_metal,iv_transport,0.2324,0.1882,0.217,True,True
forward,onset2COWCS,treat_metal,iv_transport,0.1598,0.1094,0.1442,True,False
forward,onset2COWCS,treat_metal,iv_transport,0.2491,0.1671,0.1361,False,True
forward,onset2COWCS,treat_metal,iv_transport,0.2239,0.1521,0.1412,False,False
forward,onset2COWCS,treat_metal,iv_metal,-0.0007,0.1077,0.9951,True,True
forward,onset2COWCS,treat_metal,iv_metal,0.0086,0.1137,0.9398,True,False
forward,onset2COWCS,treat_metal,iv_metal,0.0053,0.1128,0.9623,False,True
forward,onset2COWCS,treat_metal,iv_metal,0.0027,0.1065,0.9796,False,False
forward,onset2COWCS,treat_mine,iv_transport,-0.5267,1.0965,0.6309,True,True
forward,onset2COWCS,treat_mine,iv_transport,-0.746,2.253,0.7406,True,False
forward,onset2COWCS,treat_mine,iv_transport,-7.6447,253.5758,0.9759,False,True
forward,onset2COWCS,treat_mine,iv_transport,-7.679,253.8208,0.9759,False,False
forward,onset2COWCS,treat_mine,iv_mine,-0.0275,0.0421,0.5133,True,True
forward,onset2COWCS,treat_mine,iv_mine,-0.0288,0.041,0.4821,True,False
forward,onset2COWCS,treat_mine,iv_mine,-0.0269,0.0413,0.5147,False,True
forward,onset2COWCS,treat_mine,iv_mine,-0.024,0.0422,0.5686,False,False
