gvc_type,outcome,treatment,instrument,tau_hat,std_hat,p_val,fixed_effects,stationary_controls
mix,onset2COWCS,treat_fuel,iv_transport,1.8066,9.1943,0.8442,True,True
mix,onset2COWCS,treat_fuel,iv_transport,0.9216,2.6749,0.7304,True,False
mix,onset2COWCS,treat_fuel,iv_transport,-2.0374,9.2259,0.8252,False,True
mix,onset2COWCS,treat_fuel,iv_transport,-0.4771,0.9989,0.6329,False,False
mix,onset2COWCS,treat_fuel,iv_fuel,-0.0193,0.0735,0.7931,True,True
mix,onset2COWCS,treat_fuel,iv_fuel,-0.0149,0.0737,0.8401,True,False
mix,onset2COWCS,treat_fuel,iv_fuel,-0.032,0.0753,0.6708,False,True
mix,onset2COWCS,treat_fuel,iv_fuel,-0.0355,0.0755,0.6383,False,False
mix,onset2COWCS,treat_agri,iv_transport,0.6504,1.1073,0.557,True,True
mix,onset2COWCS,treat_agri,iv_transport,0.6411,1.0713,0.5496,True,False
mix,onset2COWCS,treat_agri,iv_transport,5.8605,58.8891,0.9207,False,True
mix,onset2COWCS,treat_agri,iv_transport,3.6826,24.5828,0.8809,False,False
mix,onset2COWCS,treat_agri,iv_agri,-0.014,0.0311,0.6529,True,True
mix,onset2COWCS,treat_agri,iv_agri,-0.0133,0.0334,0.6911,True,False
mix,onset2COWCS,treat_agri,iv_agri,-0.0153,0.0311,0.6224,False,True
mix,onset2COWCS,treat_agri,iv_agri,-0.014,0.0311,0.651,False,False
mix,onset2COWCS,treat_metal,iv_transport,-0.8966,2.1636,0.6786,True,True
mix,onset2COWCS,treat_metal,iv_transport,-1.4098,5.1561,0.7845,True,False
mix,onset2COWCS,treat_metal,iv_transport,-3.736,27.157,0.8906,False,True
mix,onset2COWCS,treat_metal,iv_transport,10.7406,203.6924,0.9579,False,False
mix,onset2COWCS,treat_metal,iv_metal,-0.0714,0.0463,0.1232,True,True
mix,onset2COWCS,treat_metal,iv_metal,-0.0689,0.044,0.1171,True,False
mix,onset2COWCS,treat_metal,iv_metal,-0.0741,0.0494,0.1339,False,True
mix,onset2COWCS,treat_metal,iv_metal,-0.0699,0.0475,0.1412,False,False
mix,onset2COWCS,treat_mine,iv_transport,-0.3081,0.4639,0.5067,True,True
mix,onset2COWCS,treat_mine,iv_transport,-0.2488,0.3658,0.4964,True,False
mix,onset2COWCS,treat_mine,iv_transport,-0.1898,0.2413,0.4316,False,True
mix,onset2COWCS,treat_mine,iv_transport,-0.2327,0.3717,0.5313,False,False
mix,onset2COWCS,treat_mine,iv_mine,-0.0235,0.0776,0.7616,True,True
mix,onset2COWCS,treat_mine,iv_mine,-0.0243,0.0789,0.7581,True,False
mix,onset2COWCS,treat_mine,iv_mine,-0.0166,0.0729,0.8202,False,True
mix,onset2COWCS,treat_mine,iv_mine,-0.0189,0.0718,0.7928,False,False
