country,t,gross output
ABW,1990,96.392949927
ABW,1991,110.24133334199999
ABW,1992,117.93820669700001
ABW,1993,127.687931437
ABW,1994,148.70169061500002
ABW,1995,154.007650905
ABW,1996,171.250431203
ABW,1997,187.95842297000002
ABW,1998,222.05073037699998
ABW,1999,238.69349321099997
ABW,2000,251.89091118700003
ABW,2001,243.735613197
ABW,2002,244.549447096
ABW,2003,255.43759445999999
ABW,2004,289.320932201
ABW,2005,314.203245704
ABW,2006,337.090635237
ABW,2007,365.768032479
ABW,2008,392.190600816
ABW,2009,346.477640348
ABW,2010,354.684060766
ABW,2011,411.945088011
ABW,2012,418.867758612
ABW,2013,433.254211468
ABW,2014,443.35803801099996
ABW,2015,417.02182371900005
AFG,1990,768.90156314
AFG,1991,706.43148491
AFG,1992,734.86863225
AFG,1993,569.913719
AFG,1994,462.127327394
AFG,1995,701.532761609
AFG,1996,678.74132274
AFG,1997,661.713865717
AFG,1998,660.272740805
AFG,1999,638.217102081
AFG,2000,868.0801164669999
AFG,2001,811.80856935
AFG,2002,922.429536286
AFG,2003,1150.82606286
AFG,2004,1301.0686902
AFG,2005,1521.6143852
AFG,2006,1838.63807462
AFG,2007,2296.15787259
AFG,2008,2462.56665035
AFG,2009,2738.98852392
AFG,2010,3477.04689332
AFG,2011,4125.196837670001
AFG,2012,4133.314875120001
AFG,2013,4163.319140359999
AFG,2014,4302.49851192
AFG,2015,4315.454563679999
AGO,1990,1951.86621691
AGO,1991,2325.77406285
AGO,1992,2770.14819336
AGO,1993,2110.26751429
AGO,1994,2214.1586249800002
AGO,1995,1169.61917
AGO,1996,1428.17276043
AGO,1997,1709.26779151
AGO,1998,1525.35340035
AGO,1999,1470.196512671
AGO,2000,1975.35192455
AGO,2001,2222.93204964
AGO,2002,2575.22718317
AGO,2003,3188.31925485
AGO,2004,4416.763277120001
AGO,2005,6869.1327128600005
AGO,2006,8374.72938513
AGO,2007,12295.022346000002
AGO,2008,17184.4252796
AGO,2009,16306.6613251
AGO,2010,17110.8614038
AGO,2011,21496.1960247
AGO,2012,21730.9943428
AGO,2013,23233.2324633
AGO,2014,24122.2107584
AGO,2015,23666.8978997
ALB,1990,726.33330667
ALB,1991,554.7397000999999
ALB,1992,591.3114933239999
ALB,1993,626.513312828
ALB,1994,659.33258977
