country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,outpd%,outptt%,gvco%,gvcobp%,gvcofp%,gvcomix%,outpd_diff,outptt_diff,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff
AUS,1,2000,adb,31931.14237,15433.42791,12101.3507,4396.363756,249.4998438,1182.078611,2964.785301,0.483334662,0.378982705,0.137682633,0.007813684,0.037019615,0.092849334,,,,,,
AUS,1,2007,adb,51045.7235,29944.35238,15329.88939,5771.481739,462.1402351,1322.707933,3986.63357,0.586618238,0.300316821,0.113064941,0.009053456,0.025912218,0.078099267,,,,,,
AUS,1,2008,adb,55052.57084,31195.4628,17027.2535,6829.854534,529.8559384,1614.95085,4685.047746,0.566648611,0.309290797,0.124060592,0.009624545,0.029334704,0.085101344,-0.019969627,0.008973976,0.010995651,0.000571089,0.003422486,0.007002077
AUS,1,2009,adb,50056.27632,28555.35878,15717.02284,5783.894705,441.1536907,1499.238688,3843.502326,0.570465102,0.313987056,0.115547842,0.008813154,0.029951063,0.076783625,0.003816491,0.004696259,-0.00851275,-0.000811391,0.000616359,-0.008317719
AUS,1,2010,adb,64954.50928,37751.65003,19982.56526,7220.293988,561.5340009,1912.716805,4746.043182,0.581201374,0.307639385,0.111159242,0.008645035,0.029447021,0.073067186,0.010736272,-0.006347671,-0.0043886,-0.000168119,-0.000504042,-0.003716439
AUS,1,2011,adb,75399.62777,40524.07917,24895.9533,9979.595297,795.2535387,2777.794007,6406.547752,0.537457284,0.330186687,0.132356029,0.010547181,0.036840951,0.084967896,-0.04374409,0.022547302,0.021196787,0.001902146,0.00739393,0.01190071
AUS,1,2012,adb,76991.78438,42203.89234,24944.6528,9843.239241,765.4531161,2861.60829,6216.177835,0.548160985,0.323991099,0.127847917,0.00994201,0.03716771,0.080738197,0.010703701,-0.006195588,-0.004508112,-0.000605171,0.000326759,-0.004229699
AUS,1,2013,adb,77315.3388,40223.45064,26269.37474,10822.51342,830.3459187,2804.630283,7187.537221,0.520251884,0.339769251,0.139978866,0.010739731,0.036275212,0.092963923,-0.027909101,0.015778152,0.012130949,0.000797721,-0.000892498,0.012225726
AUS,1,2014,adb,76358.39429,42430.9281,24199.41101,9728.055188,782.0348123,2376.395,6569.625376,0.555681251,0.316918804,0.127399944,0.010241635,0.031121595,0.086036715,0.035429367,-0.022850447,-0.012578922,-0.000498096,-0.005153617,-0.006927208
AUS,1,2015,adb,63403.9646,34346.83131,21194.33593,7862.797361,485.1735953,2015.183939,5362.439826,0.541714253,0.334274616,0.124011131,0.007652102,0.031783248,0.084575781,-0.013966998,0.017355812,-0.003388813,-0.002589533,0.000661653,-0.001460934
