country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,gvco_perc,gvcobp_perc,gvcofp_perc,gvcomix_perc,outpd_perc,outptt_perc,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,outpd_diff,outptt_diff
AUS,1,2000,adb,31931.14237,15433.42791,12101.3507,4396.363756,249.4998438,1182.078611,2964.785301,0.1376826,0.0078137,0.0370196,0.0928493,0.4833347,0.3789827,,,,,,
AUS,1,2007,adb,51045.7235,29944.35238,15329.88939,5771.481739,462.1402351,1322.707933,3986.63357,0.1130649,0.0090535,0.0259122,0.0780993,0.5866182,0.3003168,,,,,,
AUS,1,2008,adb,55052.57084,31195.4628,17027.2535,6829.854534,529.8559384,1614.95085,4685.047746,0.1240606,0.0096245,0.0293347,0.0851013,0.5666486,0.3092908,0.0109957,0.000571,0.0034225,0.007002,-0.0199696,0.008974
AUS,1,2009,adb,50056.27632,28555.35878,15717.02284,5783.894705,441.1536907,1499.238688,3843.502326,0.1155478,0.0088132,0.0299511,0.0767836,0.5704651,0.3139871,-0.0085128,-0.0008113,0.0006164,-0.0083177,0.0038165,0.0046963
AUS,1,2010,adb,64954.50928,37751.65003,19982.56526,7220.293988,561.5340009,1912.716805,4746.043182,0.1111592,0.008645,0.029447,0.0730672,0.5812014,0.3076394,-0.0043886,-0.0001682,-0.0005041,-0.0037164,0.0107363,-0.0063477
AUS,1,2011,adb,75399.62777,40524.07917,24895.9533,9979.595297,795.2535387,2777.794007,6406.547752,0.132356,0.0105472,0.036841,0.0849679,0.5374573,0.3301867,0.0211968,0.0019022,0.007394,0.0119007,-0.0437441,0.0225473
AUS,1,2012,adb,76991.78438,42203.89234,24944.6528,9843.239241,765.4531161,2861.60829,6216.177835,0.1278479,0.009942,0.0371677,0.0807382,0.548161,0.3239911,-0.0045081,-0.0006052,0.0003267,-0.0042297,0.0107037,-0.0061956
AUS,1,2013,adb,77315.3388,40223.45064,26269.37474,10822.51342,830.3459187,2804.630283,7187.537221,0.1399789,0.0107397,0.0362752,0.0929639,0.5202519,0.3397693,0.012131,0.0007977,-0.0008925,0.0122257,-0.0279091,0.0157782
AUS,1,2014,adb,76358.39429,42430.9281,24199.41101,9728.055188,782.0348123,2376.395,6569.625376,0.1273999,0.0102416,0.0311216,0.0860367,0.5556813,0.3169188,-0.012579,-0.0004981,-0.0051536,-0.0069272,0.0354294,-0.0228505
AUS,1,2015,adb,63403.9646,34346.83131,21194.33593,7862.797361,485.1735953,2015.183939,5362.439826,0.1240111,0.0076521,0.0317832,0.0845758,0.5417143,0.3342746,-0.0033888,-0.0025895,0.0006616,-0.0014609,-0.013967,0.0173558
AUS,1,2016,adb,75516.09001,41440.29889,24865.83447,9209.956642,740.3279418,2379.917357,6089.711343,0.1219602,0.0098036,0.0315154,0.0806412,0.5487612,0.3292786,-0.0020509,0.0021515,-0.0002678,-0.0039346,0.0070469,-0.004996
AUS,1,2017,adb,76590.55109,44357.6044,23072.86646,9160.080239,1029.534902,2365.518136,5765.027201,0.119598,0.0134421,0.0308852,0.0752707,0.5791524,0.3012495,-0.0023622,0.0036385,-0.0006302,-0.0053705,0.0303912,-0.0280291
