country,t,gross_output
ABW,1990,1398.290937
ABW,1991,1742.968739
ABW,1992,1772.682082
ABW,1993,1972.754854
ABW,1994,2335.418334
ABW,1995,2318.595585
ABW,1996,2438.305182
ABW,1997,2731.105253
ABW,1998,2975.02241
ABW,1999,3118.257381
ABW,2000,3346.267048
ABW,2001,3424.534974
ABW,2002,3461.018062
ABW,2003,3626.84193
ABW,2004,4006.185002
ABW,2005,4259.675312
ABW,2006,4501.65772
ABW,2007,4852.602164
ABW,2008,5136.257998
ABW,2009,4671.253819
ABW,2010,4697.602626
ABW,2011,5309.794762
ABW,2012,5369.029337
ABW,2013,5507.823078
ABW,2014,5649.315159
ABW,2015,5413.242982
AFG,1990,5881.309988
AFG,1991,5502.293321
AFG,1992,5820.078893
AFG,1993,4586.58204
AFG,1994,3732.751393
AFG,1995,5829.842073
AFG,1996,5720.002935
AFG,1997,5604.303154
AFG,1998,5615.50514
AFG,1999,5355.349421
AFG,2000,7112.007327
AFG,2001,7204.546256
AFG,2002,8140.894217
AFG,2003,9900.71969
AFG,2004,11094.92806
AFG,2005,12973.07634
AFG,2006,15488.76532
AFG,2007,19638.7204
AFG,2008,21033.63914
AFG,2009,23513.78863
AFG,2010,29862.32973
AFG,2011,35126.83807
AFG,2012,35511.6465
AFG,2013,35575.29661
AFG,2014,36591.70008
AFG,2015,36059.38413
AGO,1990,19469.08845
AGO,1991,23191.80159
AGO,1992,28091.69007
AGO,1993,21378.24626
AGO,1994,22305.87189
AGO,1995,11549.03621
AGO,1996,13745.77664
AGO,1997,17419.29155
AGO,1998,15614.71208
AGO,1999,14836.84228
AGO,2000,20043.42404
AGO,2001,22892.81469
AGO,2002,26142.30915
AGO,2003,32962.28822
AGO,2004,45500.27847
AGO,2005,69340.61298
AGO,2006,83669.55103
AGO,2007,124287.1888
AGO,2008,175021.8657
AGO,2009,171268.1216
AGO,2010,175721.1372
AGO,2011,219223.6059
AGO,2012,223361.7307
AGO,2013,240487.8594
AGO,2014,252835.5409
AGO,2015,246999.1919
ALB,1990,3606.464127
ALB,1991,2893.969677
ALB,1992,3439.247096
ALB,1993,3755.673302
ALB,1994,3969.113008
ALB,1995,4943.699172
ALB,1996,6557.399598
ALB,1997,4683.370543
ALB,1998,5458.940509
ALB,1999,6554.261834
ALB,2000,6752.575537
ALB,2001,7486.598927
ALB,2002,8357.632984
ALB,2003,10749.30296
ALB,2004,14101.62207
ALB,2005,15909.55209
ALB,2006,17820.12822
ALB,2007,21700.03286
ALB,2008,26535.39174
ALB,2009,24325.19517
ALB,2010,24338.66766
ALB,2011,26763.09558
ALB,2012,27298.14114
ALB,2013,28910.336
ALB,2014,29730.34933
ALB,2015,29145.52758
AND,1990,2288.257925
AND,1991,2458.1837
AND,1992,2710.905108
AND,1993,2284.331084
AND,1994,2301.523803
AND,1995,2643.606569
AND,1996,2729.455261
AND,1997,2587.855241
AND,1998,2715.736621
AND,1999,2789.316011
AND,2000,2595.091651
AND,2001,2844.290099
AND,2002,3178.62738
AND,2003,4255.703961
AND,2004,5309.15447
AND,2005,5834.17482
AND,2006,6468.483303
AND,2007,7380.730266
AND,2008,7777.825481
AND,2009,7011.555729
AND,2010,6675.806976
AND,2011,7014.849599
AND,2012,6997.38687
AND,2013,7177.822257
AND,2014,7332.128404
AND,2015,7190.691128
ANT,1990,3594.095037
ANT,1991,3773.832395
ANT,1992,4017.465906
ANT,1993,4305.580223
ANT,1994,4704.865042
ANT,1995,4968.445161
ANT,1996,5172.792438
ANT,1997,5231.778342
ANT,1998,5291.740134
ANT,1999,5340.481283
ANT,2000,5488.654904
ANT,2001,5482.156028
ANT,2002,5540.176332
ANT,2003,5704.641603
ANT,2004,6232.842454
ANT,2005,6635.836571
ANT,2006,7017.016918
ANT,2007,7590.900602
ANT,2008,8390.390421
ANT,2009,8196.961447
ANT,2010,8611.469673
ANT,2011,8933.953363
ANT,2012,8890.603862
ANT,2013,8869.140151
ANT,2014,8809.389643
ANT,2015,8687.9778
ARE,1990,79949.74067
ARE,1991,111689.4357
ARE,1992,114723.1153
ARE,1993,103660.1427
ARE,1994,142306.8349
ARE,1995,146444.1171
ARE,1996,152084.9152
ARE,1997,130703.4207
ARE,1998,112826.9089
ARE,1999,152767.1354
ARE,2000,212128.6681
ARE,2001,189889.827
ARE,2002,206610.9319
ARE,2003,234280.6809
ARE,2004,278688.5043
ARE,2005,333020.0981
ARE,2006,403125.5598
ARE,2007,506534.1043
ARE,2008,596507.511
ARE,2009,481739.7199
ARE,2010,538060.8071
ARE,2011,680372.239
ARE,2012,685659.809
ARE,2013,777351.9463
ARE,2014,792972.2163
ARE,2015,778265.4089
ARG,1990,222537.4847
ARG,1991,301786.672
ARG,1992,366682.2611
ARG,1993,373131.7999
ARG,1994,408465.3414
ARG,1995,826302.5018
ARG,1996,869571.6227
ARG,1997,934734.4964
ARG,1998,957383.6596
ARG,1999,906821.5628
ARG,2000,905784.5312
ARG,2001,860375.3025
ARG,2002,347827.4444
ARG,2003,440835.2011
