country,country_name,Region
ABW,Aruba,Latin America - Caribbean
AFG,Afghanistan,South Asia
AGO,Angola,Sub-Saharan Africa
ALB,Albania,Europe - Central Asia
AND,Andorra,Europe - Central Asia
ANT,Netherlands Antilles,Other
ARE,UAE,Middle East - North Africa
ARG,Argentina,Latin America - Caribbean
ARM,Armenia,Europe - Central Asia
ATG,Antigua,Latin America - Caribbean
AUS,Australia,East Asia - Pacific
AUT,Austria,Europe - Central Asia
AZE,Azerbaijan,Europe - Central Asia
BAN,Bangladesh,South Asia
BDI,Burundi,Sub-Saharan Africa
BEL,Belgium,Europe - Central Asia
BEN,Benin,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa
BGD,Bangladesh,South Asia
BGR,Bulgaria,Europe - Central Asia
BHR,Bahrain,Middle East - North Africa
BHS,Bahamas,Latin America - Caribbean
BHU,Bhutan,South Asia
BIH,Bosnia and Herzegovina,Europe - Central Asia
BLR,Belarus,Europe - Central Asia
BLZ,Belize,Latin America - Caribbean
BMU,Bermuda,North America
BOL,Bolivia,Latin America - Caribbean
BRA,Brazil,Latin America - Caribbean
BRB,Barbados,Latin America - Caribbean
BRN,Brunei,East Asia - Pacific
BRU,Brunei,East Asia - Pacific
BTN,Bhutan,South Asia
BWA,Botswana,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
CAM,Cambodia,East Asia - Pacific
CAN,Canada,North America
CHE,Switzerland,Europe - Central Asia
CHL,Chile,Latin America - Caribbean
CHN,China,East Asia - Pacific
CIV,Cote dIvoire,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa
COD,DR Congo,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
COL,Colombia,Latin America - Caribbean
CPV,Cape Verde,Sub-Saharan Africa
CRI,Costa Rica,Latin America - Caribbean
CUB,Cuba,Latin America - Caribbean
CYM,Cayman Islands,Latin America - Caribbean
CYP,Cyprus,Europe - Central Asia
CZE,Czech Republic,Europe - Central Asia
DEN,Denmark,Europe - Central Asia
DEU,Germany,Europe - Central Asia
DIS,Statistical Discrepancy,Other
