country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,outpd%,outptt%,gvco%,gvcobp%,gvcofp%,gvcomix%,outpd_diff,outptt_diff,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff
ARG,1,1995,tiva,21401.63209,15437.10772,4986.283997,978.2403694,93.8083334,318.889911,565.542125,0.721305163,0.232986156,0.045708681,0.004383233,0.014900261,0.026425187,,,,,,
ARG,1,1996,tiva,24379.9607,17219.9516,5977.895613,1182.113483,120.4246961,355.1270793,706.5617077,0.706315806,0.245197098,0.048487096,0.004939495,0.014566352,0.028981249,-0.014989357,0.012210942,0.002778415,0.000556262,-0.000333909,0.002556062
ARG,1,1997,tiva,24495.67485,17093.05858,6185.884443,1216.731832,159.9067853,313.8673783,742.9576689,0.697799047,0.25252966,0.049671293,0.00652796,0.012813175,0.030330157,-0.008516759,0.007332562,0.001184197,0.001588465,-0.001753177,0.001348908
ARG,1,1998,tiva,24780.00902,17440.07838,6168.352168,1171.578478,130.0798436,321.3918177,720.1068165,0.703796288,0.248924533,0.047279179,0.005249386,0.012969802,0.02905999,0.005997241,-0.003605127,-0.002392114,-0.001278574,0.000156627,-0.001270167
ARG,1,1999,tiva,20494.64505,14499.46736,4947.498736,1047.678948,107.8417371,298.561643,641.2755674,0.707475896,0.241404461,0.051119643,0.005261947,0.014567788,0.031289908,0.003679608,-0.007520072,0.003840464,1.2561E-05,0.001597986,0.002229918
ARG,1,2000,tiva,21214.15085,14672.21981,5453.85299,1088.078053,123.6745198,312.0929637,652.3105697,0.691624186,0.257085614,0.051290201,0.005829812,0.014711546,0.030748842,-0.01585171,0.015681153,0.000170558,0.000567865,0.000143758,-0.000541066
ARG,1,2001,tiva,19898.61252,13507.34662,5314.430564,1076.835336,112.724617,312.3196333,651.7910852,0.678808465,0.267075433,0.054116102,0.005664949,0.015695548,0.032755605,-0.012815721,0.009989819,0.002825901,-0.000164863,0.000984002,0.002006763
ARG,1,2002,tiva,16342.21118,8051.815119,6901.514619,1388.881444,94.90868787,459.500813,834.4719429,0.492700469,0.422312167,0.084987364,0.005807579,0.02811742,0.051062364,-0.186107996,0.155236734,0.030871262,0.00014263,0.012421872,0.018306759
ARG,1,2003,tiva,20697.27777,11102.02862,7994.076492,1601.172654,115.9071979,526.7535282,958.511928,0.536400426,0.386238064,0.07736151,0.005600118,0.025450377,0.046311014,0.043699957,-0.036074103,-0.007625854,-0.000207461,-0.002667043,-0.00475135
ARG,1,2004,tiva,24319.47241,13465.76583,8995.23185,1858.474735,149.256144,700.5477322,1008.670859,0.553703041,0.369877755,0.076419204,0.00613731,0.028806042,0.041475853,0.017302615,-0.016360309,-0.000942306,0.000537192,0.003355665,-0.004835161
ARG,1,2005,tiva,27252.50097,14685.20847,10364.03363,2203.258863,181.622386,839.1718696,1182.464607,0.538857277,0.380296606,0.080846116,0.00666443,0.030792472,0.043389214,-0.014845764,0.010418851,0.004426912,0.00052712,0.00198643,0.001913361
ARG,1,2006,tiva,28240.03841,14589.69821,11046.56059,2603.779611,233.9244768,931.5371905,1438.317943,0.51663167,0.391166628,0.092201702,0.008283433,0.0329864,0.050931869,-0.022225607,0.010870022,0.011355586,0.001619003,0.002193928,0.007542655
ARG,1,2007,tiva,38305.06605,20437.33513,14525.14632,3342.5846,292.6403382,1176.54324,1873.401022,0.53354131,0.379196483,0.087262207,0.007639729,0.030715082,0.048907396,0.01690964,-0.011970145,-0.004939495,-0.000643704,-0.002271318,-0.002024473
ARG,1,2008,tiva,47311.28646,25004.02279,18147.37022,4159.893448,381.7139232,1433.960176,2344.219349,0.528500167,0.383573806,0.087926027,0.008068137,0.030309051,0.04954884,-0.005041143,0.004377323,0.00066382,0.000428408,-0.000406031,0.000641444
ARG,1,2009,tiva,34776.28841,18156.92532,13706.5916,2912.771488,327.4760618,858.7383552,1726.557071,0.522106474,0.394136126,0.0837574,0.009416648,0.024693215,0.049647537,-0.006393693,0.01056232,-0.004168627,0.001348511,-0.005615836,9.8697E-05
ARG,1,2010,tiva,52638.66921,30524.86278,18398.36894,3715.437497,330.2523605,1314.597303,2070.587834,0.579894272,0.349521924,0.070583804,0.00627395,0.024973984,0.03933587,0.057787798,-0.044614202,-0.013173596,-0.003142698,0.000280769,-0.010311667
ARG,1,2011,tiva,64186.24309,37068.32241,22478.11221,4639.808477,454.8309271,1592.65075,2592.326799,0.57751195,0.3502014,0.07228665,0.007086112,0.024812961,0.040387576,-0.002382322,0.000679476,0.001702846,0.000812162,-0.000161023,0.001051706
