country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,gvco_perc,gvcobp_perc,gvcofp_perc,gvcomix_perc,outpd_perc,outptt_perc,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,outpd_diff,outptt_diff
ARG,1,1995,tiva,21401.63209,15437.10772,4986.283997,978.2403694,93.8083334,318.889911,565.542125,0.0457087,0.0043832,0.0149003,0.0264252,0.7213052,0.2329862,,,,,,
ARG,1,1996,tiva,24379.9607,17219.9516,5977.895613,1182.113483,120.4246961,355.1270793,706.5617077,0.0484871,0.0049395,0.0145664,0.0289812,0.7063158,0.2451971,0.0027784,0.0005563,-0.0003339,0.002556,-0.0149894,0.0122109
ARG,1,1997,tiva,24495.67485,17093.05858,6185.884443,1216.731832,159.9067853,313.8673783,742.9576689,0.0496713,0.006528,0.0128132,0.0303302,0.697799,0.2525297,0.0011842,0.0015885,-0.0017532,0.001349,-0.0085168,0.0073326
ARG,1,1998,tiva,24780.00902,17440.07838,6168.352168,1171.578478,130.0798436,321.3918177,720.1068165,0.0472792,0.0052494,0.0129698,0.02906,0.7037963,0.2489245,-0.0023921,-0.0012786,0.0001566,-0.0012702,0.0059973,-0.0036052
ARG,1,1999,tiva,20494.64505,14499.46736,4947.498736,1047.678948,107.8417371,298.561643,641.2755674,0.0511196,0.0052619,0.0145678,0.0312899,0.7074759,0.2414045,0.0038404,1.25E-05,0.001598,0.0022299,0.0036796,-0.00752
ARG,1,2000,tiva,21214.15085,14672.21981,5453.85299,1088.078053,123.6745198,312.0929637,652.3105697,0.0512902,0.0058298,0.0147115,0.0307488,0.6916242,0.2570856,0.0001706,0.0005679,0.0001437,-0.0005411,-0.0158517,0.0156811
ARG,1,2001,tiva,19898.61252,13507.34662,5314.430564,1076.835336,112.724617,312.3196333,651.7910852,0.0541161,0.0056649,0.0156955,0.0327556,0.6788085,0.2670754,0.0028259,-0.0001649,0.000984,0.0020068,-0.0128157,0.0099898
ARG,1,2002,tiva,16342.21118,8051.815119,6901.514619,1388.881444,94.90868787,459.500813,834.4719429,0.0849874,0.0058076,0.0281174,0.0510624,0.4927005,0.4223122,0.0308713,0.0001427,0.0124219,0.0183068,-0.186108,0.1552368
ARG,1,2003,tiva,20697.27777,11102.02862,7994.076492,1601.172654,115.9071979,526.7535282,958.511928,0.0773615,0.0056001,0.0254504,0.046311,0.5364004,0.3862381,-0.0076259,-0.0002075,-0.002667,-0.0047514,0.0436999,-0.0360741
ARG,1,2004,tiva,24319.47241,13465.76583,8995.23185,1858.474735,149.256144,700.5477322,1008.670859,0.0764192,0.0061373,0.028806,0.0414759,0.553703,0.3698778,-0.0009423,0.0005372,0.0033556,-0.0048351,0.0173026,-0.0163603
ARG,1,2005,tiva,27252.50097,14685.20847,10364.03363,2203.258863,181.622386,839.1718696,1182.464607,0.0808461,0.0066644,0.0307925,0.0433892,0.5388573,0.3802966,0.0044269,0.0005271,0.0019865,0.0019133,-0.0148457,0.0104188
ARG,1,2006,tiva,28240.03841,14589.69821,11046.56059,2603.779611,233.9244768,931.5371905,1438.317943,0.0922017,0.0082834,0.0329864,0.0509319,0.5166317,0.3911666,0.0113556,0.001619,0.0021939,0.0075427,-0.0222256,0.01087
ARG,1,2007,tiva,38305.06605,20437.33513,14525.14632,3342.5846,292.6403382,1176.54324,1873.401022,0.0872622,0.0076397,0.0307151,0.0489074,0.5335413,0.3791965,-0.0049395,-0.0006437,-0.0022713,-0.0020245,0.0169096,-0.0119701
ARG,1,2008,tiva,47311.28646,25004.02279,18147.37022,4159.893448,381.7139232,1433.960176,2344.219349,0.087926,0.0080681,0.0303091,0.0495488,0.5285002,0.3835738,0.0006638,0.0004284,-0.000406,0.0006414,-0.0050411,0.0043773
ARG,1,2009,tiva,34776.28841,18156.92532,13706.5916,2912.771488,327.4760618,858.7383552,1726.557071,0.0837574,0.0094166,0.0246932,0.0496475,0.5221065,0.3941361,-0.0041686,0.0013485,-0.0056159,9.87E-05,-0.0063937,0.0105623
