country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,gvco_perc,gvcobp_perc,gvcofp_perc,gvcomix_perc,outpd_perc,outptt_perc,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,outpd_diff,outptt_diff
AUS,1,1965,wiodlr,7686.345963,4195.805154,2927.435519,563.1052887,22.56470466,78.8212842,461.7192998,0.0732605,0.0029357,0.0102547,0.0600701,0.5458777,0.3808618,,,,,,
AUS,1,1966,wiodlr,9438.937013,5720.180001,3181.969572,536.7874397,21.86318261,84.02620881,430.8980482,0.0568695,0.0023163,0.0089021,0.0456511,0.6060195,0.337111,-0.016391,-0.0006194,-0.0013526,-0.014419,0.0601418,-0.0437508
AUS,1,1967,wiodlr,7599.331848,4173.970377,2901.214121,524.1473491,19.2572905,79.12935272,425.7607059,0.0689728,0.0025341,0.0104127,0.0560261,0.5492549,0.3817723,0.0121033,0.0002178,0.0015106,0.010375,-0.0567646,0.0446613
AUS,1,1968,wiodlr,9531.42476,5971.225218,3050.041055,510.1584867,25.22356801,75.33492302,409.5999957,0.0535238,0.0026464,0.0079038,0.0429736,0.6264777,0.3199984,-0.015449,0.0001123,-0.0025089,-0.0130525,0.0772228,-0.0617739
AUS,1,1969,wiodlr,9038.453161,5435.967168,3072.704546,529.7814477,23.39010556,83.29804014,423.093302,0.0586142,0.0025878,0.009216,0.0468104,0.6014267,0.3399591,0.0050904,-5.86E-05,0.0013122,0.0038368,-0.025051,0.0199607
AUS,1,1970,wiodlr,8047.026778,4747.220464,2804.690438,495.1158764,23.04603812,75.54957572,396.5202626,0.0615278,0.0028639,0.0093885,0.0492754,0.5899347,0.3485375,0.0029136,0.0002761,0.0001725,0.002465,-0.011492,0.0085784
AUS,1,1971,wiodlr,8941.238067,5238.244284,3172.064762,530.9290213,27.37055733,90.7272042,412.8312597,0.0593798,0.0030612,0.0101471,0.0461716,0.5858522,0.354768,-0.002148,0.0001973,0.0007586,-0.0031038,-0.0040825,0.0062305
AUS,1,1972,wiodlr,10301.71613,5963.116767,3797.5375,541.0618667,22.65865993,130.4697262,387.9334806,0.0525215,0.0021995,0.0126649,0.0376572,0.5788469,0.3686315,-0.0068583,-0.0008617,0.0025178,-0.0085144,-0.0070053,0.0138635
AUS,1,1973,wiodlr,13006.15983,7803.183672,4582.388997,620.5871564,28.2357019,197.5214276,394.8300269,0.0477149,0.0021709,0.0151868,0.0303572,0.5999606,0.3523245,-0.0048066,-2.86E-05,0.0025219,-0.0073,0.0211137,-0.016307
AUS,1,1974,wiodlr,10408.27725,5276.14323,4374.488362,757.6456626,24.65923624,296.4504204,436.5360059,0.0727926,0.0023692,0.0284822,0.0419412,0.506918,0.4202894,0.0250777,0.0001983,0.0132954,0.011584,-0.0930426,0.0679649
