country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,outpd%,outptt%,gvco%,gvcobp%,gvcofp%,gvcomix%,outpd_diff,outptt_diff,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff
AUS,1,2000,wiodn,28947.27609,13790.28748,11810.25208,3346.736526,173.6021425,782.66862,2390.465763,0.476393269,0.407991828,0.115614903,0.005997184,0.027037729,0.08257999,,,,,,
AUS,1,2001,wiodn,30957.11669,15672.74136,11971.57705,3312.798277,163.4292586,809.3848934,2339.984125,0.506272645,0.38671486,0.107012494,0.005279214,0.026145358,0.075587922,0.029879376,-0.021276968,-0.008602409,-0.00071797,-0.000892371,-0.006992068
AUS,1,2002,wiodn,25291.87753,12198.63064,10238.66029,2854.586611,155.7450138,673.2532502,2025.588347,0.482314159,0.404820096,0.112865745,0.006157906,0.026619346,0.080088493,-0.023958486,0.018105236,0.005853251,0.000878692,0.000473988,0.004500571
AUS,1,2003,wiodn,34889.28923,20414.40335,11477.82568,2997.060196,181.6631836,683.2197733,2132.177239,0.585119497,0.32897849,0.085902014,0.005206847,0.019582508,0.061112659,0.102805338,-0.075841606,-0.026963731,-0.000951059,-0.007036838,-0.018975834
AUS,1,2004,wiodn,39645.04049,19848.15776,15253.99178,4542.890944,216.7728957,1122.856118,3203.26193,0.500646677,0.384764187,0.114589136,0.005467844,0.028322739,0.080798554,-0.08447282,0.055785697,0.028687122,0.000260997,0.008740231,0.019685895
AUS,1,2005,wiodn,42011.46879,22691.79277,14880.72493,4438.951085,247.5861793,1028.319452,3163.045454,0.540133288,0.354206253,0.105660459,0.0058933,0.024477113,0.075290047,0.039486611,-0.030557934,-0.008928677,0.000425456,-0.003845626,-0.005508507
AUS,1,2006,wiodn,36428.00577,19147.12781,13063.99378,4216.88419,262.2533641,980.9199934,2973.710832,0.525615592,0.358625006,0.115759403,0.007199224,0.026927634,0.081632545,-0.014517696,0.004418753,0.010098944,0.001305924,0.002450521,0.006342498
AUS,1,2007,wiodn,46224.03516,26880.58605,14667.50185,4675.947253,334.4982073,1012.302461,3329.146585,0.581528332,0.317313315,0.101158353,0.007236456,0.021899915,0.072021981,0.05591274,-0.041311691,-0.01460105,3.7232E-05,-0.005027719,-0.009610564
AUS,1,2008,wiodn,50075.76546,28099.79681,16436.0683,5539.900362,389.1778179,1236.933852,3913.788693,0.561145627,0.328224005,0.110630368,0.00777178,0.024701247,0.078157341,-0.020382705,0.01091069,0.009472015,0.000535324,0.002801332,0.00613536
AUS,1,2009,wiodn,45740.85505,25921.36114,15098.19163,4721.302281,313.3279501,1171.342483,3236.631847,0.566700406,0.330081097,0.103218496,0.006850068,0.025608233,0.070760196,0.005554779,0.001857092,-0.007411872,-0.000921712,0.000906986,-0.007397145
