country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,gvco_perc,gvcobp_perc,gvcofp_perc,gvcomix_perc,outpd_perc,outptt_perc,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,outpd_diff,outptt_diff
AUS,1,2000,wiodn,28947.27609,13790.28748,11810.25208,3346.736526,173.6021425,782.66862,2390.465763,0.1156149,0.0059972,0.0270377,0.08258,0.4763933,0.4079918,,,,,,
AUS,1,2001,wiodn,30957.11669,15672.74136,11971.57705,3312.798277,163.4292586,809.3848934,2339.984125,0.1070125,0.0052792,0.0261454,0.0755879,0.5062726,0.3867149,-0.0086024,-0.000718,-0.0008923,-0.0069921,0.0298793,-0.0212769
AUS,1,2002,wiodn,25291.87753,12198.63064,10238.66029,2854.586611,155.7450138,673.2532502,2025.588347,0.1128657,0.0061579,0.0266193,0.0800885,0.4823142,0.4048201,0.0058532,0.0008787,0.0004739,0.0045006,-0.0239584,0.0181052
AUS,1,2003,wiodn,34889.28923,20414.40335,11477.82568,2997.060196,181.6631836,683.2197733,2132.177239,0.085902,0.0052068,0.0195825,0.0611127,0.5851195,0.3289785,-0.0269637,-0.0009511,-0.0070368,-0.0189758,0.1028053,-0.0758416
AUS,1,2004,wiodn,39645.04049,19848.15776,15253.99178,4542.890944,216.7728957,1122.856118,3203.26193,0.1145891,0.0054678,0.0283227,0.0807986,0.5006467,0.3847642,0.0286871,0.000261,0.0087402,0.0196859,-0.0844728,0.0557857
AUS,1,2005,wiodn,42011.46879,22691.79277,14880.72493,4438.951085,247.5861793,1028.319452,3163.045454,0.1056605,0.0058933,0.0244771,0.07529,0.5401333,0.3542063,-0.0089286,0.0004255,-0.0038456,-0.0055086,0.0394866,-0.0305579
AUS,1,2006,wiodn,36428.00577,19147.12781,13063.99378,4216.88419,262.2533641,980.9199934,2973.710832,0.1157594,0.0071992,0.0269276,0.0816325,0.5256156,0.358625,0.0100989,0.0013059,0.0024505,0.0063425,-0.0145177,0.0044187
AUS,1,2007,wiodn,46224.03516,26880.58605,14667.50185,4675.947253,334.4982073,1012.302461,3329.146585,0.1011584,0.0072365,0.0218999,0.072022,0.5815283,0.3173133,-0.014601,3.73E-05,-0.0050277,-0.0096105,0.0559127,-0.0413117
AUS,1,2008,wiodn,50075.76546,28099.79681,16436.0683,5539.900362,389.1778179,1236.933852,3913.788693,0.1106304,0.0077718,0.0247012,0.0781573,0.5611456,0.328224,0.009472,0.0005353,0.0028013,0.0061353,-0.0203827,0.0109107
AUS,1,2009,wiodn,45740.85505,25921.36114,15098.19163,4721.302281,313.3279501,1171.342483,3236.631847,0.1032185,0.0068501,0.0256082,0.0707602,0.5667004,0.3300811,-0.0074119,-0.0009217,0.000907,-0.0073971,0.0055548,0.0018571
AUS,1,2010,wiodn,59635.54253,34413.01762,19254.50666,5968.018247,399.0806566,1522.788681,4046.14891,0.1000749,0.006692,0.0255349,0.0678479,0.5770555,0.3228696,-0.0031436,-0.0001581,-7.33E-05,-0.0029123,0.0103551,-0.0072115
AUS,1,2011,wiodn,69564.17026,36927.58277,23988.14929,8648.438202,512.7518809,2379.07586,5756.610461,0.1243232,0.0073709,0.0341997,0.0827525,0.530842,0.3448348,0.0242483,0.0006789,0.0086648,0.0149046,-0.0462135,0.0219652
AUS,1,2012,wiodn,71511.51366,38615.20697,24291.94661,8604.360077,547.2759788,2432.603667,5624.480432,0.1203213,0.007653,0.034017,0.0786514,0.5399859,0.3396928,-0.0040019,0.0002821,-0.0001827,-0.0041011,0.0091439,-0.005142
AUS,1,2013,wiodn,71455.62138,36371.87995,25773.39766,9310.343769,596.3113313,2274.666061,6439.366377,0.1302955,0.0083452,0.0318333,0.090117,0.5090136,0.360691,0.0099742,0.0006922,-0.0021837,0.0114656,-0.0309723,0.0209982
AUS,1,2014,wiodn,70288.63903,39113.86612,23234.77487,7939.998042,582.4690321,1819.735292,5537.793718,0.1129628,0.0082868,0.0258895,0.0787865,0.5564749,0.3305623,-0.0173327,-5.84E-05,-0.0059438,-0.0113305,0.0474613,-0.0301287
AUS,2,2000,wiodn,1506.024198,917.2953315,411.6030814,177.1257855,7.054054497,26.75850706,143.313224,0.1176115,0.0046839,0.0177676,0.09516,0.6090841,0.2733044,,,,,,
AUS,2,2001,wiodn,1610.594079,1022.446586,418.8055226,169.3419696,6.573714168,25.89808316,136.8701723,0.1051426,0.0040815,0.0160798,0.0849812,0.6348257,0.2600317,-0.0124689,-0.0006024,-0.0016878,-0.0101788,0.0257416,-0.0132727
AUS,2,2002,wiodn,1315.850481,815.8221012,351.6235529,148.4048266,4.972491546,22.45066106,120.981674,0.1127824,0.0037789,0.0170617,0.0919418,0.6199961,0.2672215,0.0076398,-0.0003026,0.0009819,0.0069606,-0.0148296,0.0071898
AUS,2,2003,wiodn,1815.170377,1193.160506,441.4508366,180.559034,8.647089631,27.03491018,144.8770342,0.0994722,0.0047638,0.0148939,0.0798146,0.657327,0.2432008,-0.0133102,0.0009849,-0.0021678,-0.0121272,0.0373309,-0.0240207
AUS,2,2004,wiodn,2062.593575,1313.737079,518.4951369,230.3613591,10.71961665,34.42744108,185.2143013,0.1116853,0.0051972,0.0166913,0.0897968,0.6369345,0.2513802,0.0122131,0.0004334,0.0017974,0.0099822,-0.0203925,0.0081794
AUS,2,2005,wiodn,2185.706162,1373.56986,552.3024398,259.8338615,7.918106882,38.58611841,213.3296363,0.1188787,0.0036227,0.0176538,0.0976022,0.628433,0.2526883,0.0071934,-0.0015745,0.0009625,0.0078054,-0.0085015,0.0013081
AUS,2,2006,wiodn,1895.215254,1184.066102,474.5242709,236.6248805,11.55036379,33.17952894,191.8949878,0.1248538,0.0060945,0.017507,0.1012523,0.624766,0.2503801,0.0059751,0.0024718,-0.0001468,0.0036501,-0.003667,-0.0023082
AUS,2,2007,wiodn,2404.860315,1503.563561,600.1262743,301.1704794,18.61406854,40.4308492,242.1255617,0.1252341,0.0077402,0.0168121,0.1006818,0.6252187,0.2495472,0.0003803,0.0016457,-0.0006949,-0.0005705,0.0004527,-0.0008329
AUS,2,2008,wiodn,2458.513717,1502.228921,627.1504343,329.1343616,12.85335314,49.15114572,267.1298628,0.1338753,0.0052281,0.0199922,0.108655,0.6110313,0.2550933,0.0086412,-0.0025121,0.0031801,0.0079732,-0.0141874,0.0055461
AUS,2,2009,wiodn,2102.707023,1349.479177,511.6631003,241.5647457,9.978272936,41.10889335,190.4775794,0.1148827,0.0047454,0.0195505,0.0905868,0.6417818,0.2433354,-0.0189926,-0.0004827,-0.0004417,-0.0180682,0.0307505,-0.0117579
AUS,2,2010,wiodn,2542.75014,1641.001963,610.2187071,291.5294696,14.88530258,62.35464861,214.2895184,0.1146512,0.005854,0.0245225,0.0842747,0.645365,0.2399837,-0.0002315,0.0011086,0.004972,-0.0063121,0.0035832,-0.0033517
AUS,2,2011,wiodn,2719.226537,1710.448107,662.7486756,346.0297545,18.00455868,81.53251595,246.4926799,0.127253,0.0066212,0.0299837,0.0906481,0.6290201,0.2437269,0.0126018,0.0007672,0.0054612,0.0063734,-0.0163449,0.0037432
AUS,2,2012,wiodn,2525.223057,1692.394161,555.3475224,277.4813739,15.48314784,71.84765674,190.1505693,0.1098839,0.0061314,0.028452,0.0753005,0.6701959,0.2199202,-0.0173691,-0.0004898,-0.0015317,-0.0153476,0.0411758,-0.0238067
AUS,2,2013,wiodn,2628.266294,1642.025811,637.2480896,348.9923935,15.38917708,101.9695895,231.6336269,0.1327843,0.0058553,0.0387973,0.0881317,0.6247563,0.2424595,0.0229004,-0.0002761,0.0103453,0.0128312,-0.0454396,0.0225393
AUS,2,2014,wiodn,2585.327506,1519.642829,692.7262339,372.9584428,17.23901514,114.1013346,241.618093,0.1442597,0.006668,0.0441342,0.0934574,0.5877951,0.2679453,0.0114754,0.0008127,0.0053369,0.0053257,-0.0369612,0.0254858
AUS,6,2000,wiodn,3733.878604,860.7904045,1516.092119,1356.99608,224.4624743,291.207575,841.3260303,0.363428,0.0601151,0.0779906,0.2253223,0.2305352,0.4060368,,,,,,
AUS,6,2001,wiodn,3395.998692,930.2711153,1319.762313,1145.965263,178.6095546,252.1313134,715.2243952,0.3374457,0.0525941,0.0742436,0.210608,0.2739315,0.3886227,-0.0259823,-0.007521,-0.003747,-0.0147143,0.0433963,-0.0174141
AUS,6,2002,wiodn,3882.219036,1246.393867,1429.291727,1206.533441,209.1083261,255.3386187,742.0864967,0.3107845,0.0538631,0.0657713,0.1911501,0.3210519,0.3681636,-0.0266612,0.001269,-0.0084723,-0.0194579,0.0471204,-0.0204591
AUS,6,2003,wiodn,5054.859419,2023.219172,1788.104549,1243.535697,142.5548419,287.136022,813.844833,0.246008,0.0282015,0.056804,0.1610025,0.4002523,0.3537397,-0.0647765,-0.0256616,-0.0089673,-0.0301476,0.0792004,-0.0144239
AUS,6,2004,wiodn,5794.486674,2413.291734,1971.668467,1409.526473,144.9614258,323.6689947,940.8960525,0.243253,0.0250171,0.0558581,0.1623778,0.4164807,0.3402663,-0.002755,-0.0031844,-0.0009459,0.0013753,0.0162284,-0.0134734
AUS,6,2005,wiodn,6228.566739,2826.663396,2059.513175,1342.390169,137.4968755,299.2587032,905.6345898,0.2155215,0.0220752,0.0480462,0.1454002,0.4538224,0.330656,-0.0277315,-0.0029419,-0.0078119,-0.0169776,0.0373417,-0.0096103
AUS,6,2006,wiodn,6280.665643,3079.96265,1907.305392,1293.397601,112.3552382,289.6585475,891.3838151,0.2059332,0.0178891,0.0461191,0.1419251,0.4903879,0.3036789,-0.0095883,-0.0041861,-0.0019271,-0.0034751,0.0365655,-0.0269771
AUS,6,2007,wiodn,7507.994879,3756.792975,2249.604695,1501.597208,130.9030383,329.7076097,1040.98656,0.1999998,0.0174352,0.0439142,0.1386504,0.5003723,0.2996279,-0.0059334,-0.0004539,-0.0022049,-0.0032747,0.0099844,-0.004051
AUS,6,2008,wiodn,7268.991116,3715.394067,2097.811582,1455.785467,304.9083916,273.9374707,876.9396051,0.2002734,0.0419465,0.0376858,0.1206412,0.5111293,0.2885974,0.0002736,0.0245113,-0.0062284,-0.0180092,0.010757,-0.0110305
AUS,6,2009,wiodn,6302.319261,3368.89479,1832.639553,1100.784918,236.4755246,207.9656041,656.3437894,0.1746635,0.037522,0.0329983,0.1041432,0.5345484,0.2907881,-0.0256099,-0.0044245,-0.0046875,-0.016498,0.0234191,0.0021907
AUS,6,2010,wiodn,7003.295219,3629.952433,2047.125223,1326.217564,266.2569774,282.9458692,777.0147171,0.1893705,0.0380188,0.0404018,0.1109499,0.5183206,0.2923089,0.014707,0.0004968,0.0074035,0.0068067,-0.0162278,0.0015208
AUS,6,2011,wiodn,7511.074879,3788.221017,2212.551898,1510.301963,283.3056427,346.4749795,880.5213413,0.2010767,0.0377184,0.0461285,0.1172297,0.5043514,0.2945719,0.0117062,-0.0003004,0.0057267,0.0062798,-0.0139692,0.002263
AUS,6,2012,wiodn,6834.765185,3563.569833,2005.002509,1266.192844,249.9607513,310.8383199,705.3937726,0.1852577,0.036572,0.045479,0.1032067,0.5213888,0.2933535,-0.015819,-0.0011464,-0.0006495,-0.014023,0.0170374,-0.0012184
AUS,6,2013,wiodn,5385.120326,2200.524849,1868.588302,1316.007174,190.0826646,416.3258008,709.5987087,0.2443784,0.0352978,0.0773104,0.1317703,0.4086306,0.346991,0.0591207,-0.0012742,0.0318314,0.0285636,-0.1127582,0.0536375
