country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,gvco_perc,gvcobp_perc,gvcofp_perc,gvcomix_perc,outpd_perc,outptt_perc,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,outpd_diff,outptt_diff
AUS,1,1995,wiodo,27341.33006,13701.25414,10903.5513,2736.524623,202.1190225,771.7052441,1762.700356,0.1000875,0.0073924,0.0282249,0.0644702,0.5011188,0.3987937,,,,,,
AUS,1,1996,wiodo,30452.83984,15023.07567,12248.50395,3181.260225,198.1291823,876.9370791,2106.193964,0.1044651,0.0065061,0.0287966,0.0691625,0.4933227,0.4022122,0.0043776,-0.0008863,0.0005717,0.0046923,-0.0077961,0.0034185
AUS,1,1997,wiodo,29391.85742,13778.59439,12379.4317,3233.831335,214.7667782,842.3504178,2176.714139,0.1100247,0.007307,0.0286593,0.0740584,0.4687895,0.4211858,0.0055596,0.0008009,-0.0001373,0.0048959,-0.0245332,0.0189736
AUS,1,1998,wiodo,25443.49609,13387.53373,9518.326404,2537.635955,168.5881543,697.778821,1671.26898,0.0997361,0.006626,0.0274246,0.0656855,0.5261672,0.3740966,-0.0102886,-0.000681,-0.0012347,-0.0083729,0.0573777,-0.0470892
AUS,1,1999,wiodo,27216.79243,13344.13375,11052.21784,2820.440838,205.8233817,753.5029191,1861.114537,0.1036287,0.0075624,0.0276852,0.0683811,0.4902905,0.4060808,0.0038926,0.0009364,0.0002606,0.0026956,-0.0358767,0.0319842
AUS,1,2000,wiodo,27977.8418,13542.65752,11374.07299,3061.111288,189.7830154,930.212786,1941.115487,0.109412,0.0067833,0.0332482,0.0693805,0.4840494,0.4065386,0.0057833,-0.0007791,0.005563,0.0009994,-0.0062411,0.0004578
AUS,1,2001,wiodo,27663.7168,13842.24677,10981.46593,2840.004105,175.7977019,980.5203887,1683.686014,0.1026617,0.0063548,0.0354443,0.0608626,0.5003755,0.3969628,-0.0067503,-0.0004285,0.0021961,-0.0085179,0.0163261,-0.0095758
AUS,1,2002,wiodo,24187.23438,11302.11867,10130.22266,2754.89305,189.9789856,879.7970464,1685.117018,0.1138986,0.0078545,0.0363744,0.0696697,0.4672762,0.4188252,0.0112369,0.0014997,0.0009301,0.0088071,-0.0330993,0.0218624
AUS,1,2003,wiodo,32368.45117,19212.8925,10417.88966,2737.669014,227.1048902,864.609301,1645.954823,0.0845783,0.0070162,0.0267115,0.0508506,0.5935685,0.3218532,-0.0293203,-0.0008383,-0.0096629,-0.0188191,0.1262923,-0.096972
AUS,1,2004,wiodo,36360.53571,21219.67844,11784.09753,3356.75974,243.8130546,1119.556075,1993.390611,0.0923188,0.0067054,0.0307904,0.0548229,0.5835909,0.3240903,0.0077405,-0.0003108,0.0040789,0.0039723,-0.0099776,0.0022371
AUS,1,2005,wiodo,37935.32687,23248.00469,11281.75689,3405.565285,286.8486395,1093.652507,2025.064138,0.0897729,0.0075615,0.0288294,0.053382,0.6128326,0.2973945,-0.0025459,0.0008561,-0.001961,-0.0014409,0.0292417,-0.0266958
AUS,1,2006,wiodo,32544.07343,19364.20739,9970.96132,3208.904717,268.776682,1060.375937,1879.752098,0.0986018,0.0082589,0.0325828,0.0577602,0.5950149,0.3063833,0.0088289,0.0006974,0.0037534,0.0043782,-0.0178177,0.0089888
AUS,1,2007,wiodo,40768.68353,26150.38282,11088.37228,3529.928438,352.5728026,1095.397581,2081.958054,0.0865843,0.0086481,0.0268686,0.0510676,0.6414331,0.2719826,-0.0120175,0.0003892,-0.0057142,-0.0066926,0.0464182,-0.0344007
