country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,outpd%,outptt%,gvco%,gvcobp%,gvcofp%,gvcomix%,outpd_diff,outptt_diff,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff
AUS,1,1995,wiodo,27341.33006,13701.25414,10903.5513,2736.524623,202.1190225,771.7052441,1762.700356,0.501118786,0.398793741,0.100087473,0.007392436,0.028224861,0.064470176,,,,,,
AUS,1,1996,wiodo,30452.83984,15023.07567,12248.50395,3181.260225,198.1291823,876.9370791,2106.193964,0.493322651,0.402212208,0.104465142,0.006506099,0.028796562,0.069162481,-0.007796135,0.003418467,0.004377669,-0.000886337,0.000571701,0.004692305
AUS,1,1997,wiodo,29391.85742,13778.59439,12379.4317,3233.831335,214.7667782,842.3504178,2176.714139,0.468789508,0.421185756,0.110024735,0.007307016,0.028659312,0.074058407,-0.024533143,0.018973548,0.005559593,0.000800917,-0.00013725,0.004895926
AUS,1,1998,wiodo,25443.49609,13387.53373,9518.326404,2537.635955,168.5881543,697.778821,1671.26898,0.526167225,0.37409664,0.099736135,0.006625982,0.027424644,0.065685509,0.057377717,-0.047089116,-0.0102886,-0.000681034,-0.001234668,-0.008372898
AUS,1,1999,wiodo,27216.79243,13344.13375,11052.21784,2820.440838,205.8233817,753.5029191,1861.114537,0.490290463,0.406080837,0.103628701,0.007562367,0.027685221,0.068381112,-0.035876762,0.031984197,0.003892566,0.000936385,0.000260577,0.002695603
AUS,1,2000,wiodo,27977.8418,13542.65752,11374.07299,3061.111288,189.7830154,930.212786,1941.115487,0.484049399,0.406538613,0.109411988,0.006783333,0.033248197,0.069380458,-0.006241064,0.000457776,0.005783287,-0.000779034,0.005562976,0.000999346
AUS,1,2001,wiodo,27663.7168,13842.24677,10981.46593,2840.004105,175.7977019,980.5203887,1683.686014,0.500375523,0.39696278,0.102661697,0.006354811,0.035444275,0.06086261,0.016326124,-0.009575833,-0.006750291,-0.000428522,0.002196078,-0.008517848
AUS,1,2002,wiodo,24187.23438,11302.11867,10130.22266,2754.89305,189.9789856,879.7970464,1685.117018,0.467276188,0.418825175,0.113898638,0.007854515,0.036374438,0.069669686,-0.033099335,0.021862395,0.011236941,0.001499704,0.000930163,0.008807076
AUS,1,2003,wiodo,32368.45117,19212.8925,10417.88966,2737.669014,227.1048902,864.609301,1645.954823,0.593568484,0.321853202,0.084578314,0.007016242,0.026711482,0.05085059,0.126292296,-0.096971973,-0.029320324,-0.000838273,-0.009662956,-0.018819096
AUS,1,2004,wiodo,36360.53571,21219.67844,11784.09753,3356.75974,243.8130546,1119.556075,1993.390611,0.583590919,0.324090317,0.092318765,0.006705431,0.030790417,0.054822916,-0.009977565,0.002237115,0.007740451,-0.000310811,0.004078935,0.003972326
