Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,-89.7875284,91.19145284,0.324818305
s1,World GVC,-3.574588163,7.500941266,0.633681208
s2,transport,-16.69734726,11.08780227,0.132087618
s2,World GVC,-3.766116019,3.451479826,0.275202576
s6,transport,-70.82438465,53.6571639,0.186854132
s6,World GVC,266.6496899,2905.085616,0.92686711
s10,transport,-13.88174295,9.54892843,0.146015972
s10,World GVC,-1.007270857,2.245457007,0.653733458
s1,transport,-91.16725248,83.30651816,0.273797482
s1,World GVC,-1.387311553,8.460988096,0.869758172
s2,transport,-13.99299975,11.39274765,0.21935783
s2,World GVC,-2.457063445,3.849266138,0.523265415
s6,transport,-130.6914316,136.4747822,0.338252744
s6,World GVC,24.32099054,42.20345428,0.564426197
s10,transport,-28.60341557,35.83477966,0.424752908
s10,World GVC,-0.055398238,2.184295853,0.979766175
s1,transport,-93.52915485391486,92.54640271090437,0.3121988086958698
s1,World GVC,-4.763739374228749,7.6479352465637715,0.5333639430831312
s2,transport,-18.229129032838102,11.791125759560433,0.12210357221166568
s2,World GVC,-3.5180976720384214,3.40729205824139,0.30182851795324184
s6,transport,-67.63069967051553,44.43980432063319,0.12804676311670393
s6,World GVC,236.198943953681,2333.064952700376,0.9193601321783766
s10,transport,-14.478221876592755,9.51404017578414,0.12806564186574998
s10,World GVC,-1.1673668953704457,2.2687946969929063,0.6068802714687433
s1,transport,-93.52915485391486,92.54640271090437,0.3121988086958698
s1,World GVC,-4.763739374228749,7.6479352465637715,0.5333639430831312
s2,transport,-18.229129032838102,11.791125759560433,0.12210357221166568
s2,World GVC,-3.5180976720384214,3.40729205824139,0.30182851795324184
s6,transport,-67.63069967051553,44.43980432063319,0.12804676311670393
s6,World GVC,236.198943953681,2333.064952700376,0.9193601321783766
s10,transport,-14.478221876592755,9.51404017578414,0.12806564186574998
s10,World GVC,-1.1673668953704457,2.2687946969929063,0.6068802714687433
