country,t,s1,s2,s6,s10,s19,coup,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff
ABW,1991,-0.0051513723781816,0.0049951613935744,-0.001363973631195,0.0895034817723263,-0.0103460096821876,0.0,0.0,7.0,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,-0.005542085,,,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0480836483667797,-0.0053383916102788
AFG,1991,0.0004124779926956,0.000512352555466,0.0002499631830277,0.0036572942729655,0.0011484059328827,0.0,,7.0,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,0.0,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0421767894223182,5.428138330280247e-05
AGO,1991,0.0003257791244458,-7.860541259100675e-05,0.0002956903142048,0.0056304826531289,0.0011935356598773,0.0,,7.0,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,0.002,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.039231228570576,-0.0003030334904443
ALB,1991,0.0002732257654905,0.0006015004349348,0.0018103927501227,0.0172659340327238,0.0016913710236896,0.0,0.0,7.0,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.0,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.059060336318957,-0.0003382151314234
AND,1991,-0.000281782524215,-0.0030390086843903,0.0067170658247549,0.0015531280540001,-4.7206804722787696e-05,0.0,0.0,7.0,,,,0.16392769,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0403548779522688,-9.53709137004946e-05
ANT,1991,-0.0093650930934341,-0.0093676130164458,1.673008372513845,-0.0016724485799059,-0.0064280653347632,0.0,0.0,7.0,,,,0.1669678,,,,0.003866,0.002508,,0.0,,,-0.005542085,,,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.1016610382402271,-0.0008701669086415
ARE,1991,-0.0030755849799266,-0.0020119346206196,-0.0023178791192818,-0.0218637186793266,-0.0058902625712153,0.0,0.0,7.0,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,0.0,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0455890728858955,0.0010584857772286
ARG,1991,0.0001584537961375,0.0005398131374555,0.0010358020230171,0.0085555552309463,0.0006305178595121,0.0,0.0,7.0,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,0.0,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0540007801071088,-0.0002921927745807
ARM,1991,-1.455883174783236e-07,-1.5716389854758075e-05,-1.3439697069904894e-07,-1.0482776548939198e-06,-4.628924590567639e-06,0.0,0.0,7.0,-0.13259126,0.08142494,0.047961045,0.15959682,0.0085,,0.001272,0.004576,0.001291,0.0,0.0,0.000178151,0.000178147,-0.006785229,-0.17994289,,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0089838913118515,-0.000497246308508
ATG,1991,0.0004535632534277,0.0015536527673756,-5.1251171668254686e-05,0.0002584167442034,0.0002792179364253,0.0,0.0,7.0,,,,0.1669678,,,0.001643,0.00684,0.001063,0.01,0.0,,,-0.005542085,,,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0575942916743194,7.458406324669514e-05
AUS,1991,0.0012823715724516,0.0033835828989631,0.0001678867582803,0.0033607650821913,0.0032203687017416,0.0,0.0,7.0,-0.011807567,0.09752781,0.00814521,0.16698068,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.000144042,0.000144039,-0.00530684,-0.031692594,0.0,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0444589547873445,-0.0084617034386534
AUT,1991,0.0003885134807859,0.0067111588849626,0.0002245542123001,-0.0010474177640364,0.0008119992142721,0.0,0.0,7.0,0.023317514,0.08964238,0.04552119,0.16392769,0.01,0.040271357,0.001068,0.004146,0.001522,0.0,0.0,0.00012286,0.00012286,-0.002113208,-0.005829521,0.0,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0511596887996366,-0.0001014957262203
AZE,1991,0.003551467586372,0.0027265416419952,7.750261603644692e-05,0.0006237824936495,0.0032956345021183,0.0,1.0,7.0,-0.028476797,0.08903679,0.0444817,0.15959682,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.000218652,0.000218656,-0.006785229,-0.07156679,,0.00016176378710420702,-0.00044404883359637287,0.009304872142329413,0.0019929374086398895,-0.00039933931888817706,0.0332150671304855,0.0006682490379981
