country,t,s1,s2,s6,s10,s19,coup,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff
ABW,1991,0.0050128719382435,-0.005746130714174,0.0020512000651001,-0.063026838257906,0.0018120221187986,0.0,0.0,7.0,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0480836483667797,-0.0053383916102788
AFG,1991,0.0041808815672987,0.0008273324623777,5.661815897837954e-05,-1.0243948087316828e-05,0.0001766284693386,0.0,,7.0,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0421767894223182,5.428138330280247e-05
AGO,1991,-0.0013510346176689,-0.0029749120759268,-0.0009336567889733,-0.000488795711725,-0.0022938878379089,0.0,,7.0,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,0.002,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.039231228570576,-0.0003030334904443
ALB,1991,-0.0041484935902927,-0.0070794657154326,-0.0013811912383606,-0.0001493250439025,-0.0051842538236381,0.0,0.0,7.0,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.059060336318957,-0.0003382151314234
AND,1991,-0.0008661762098296,-0.0010594392253446,0.0008505032140066,0.0003004400745852,-0.0007170096983757,0.0,0.0,7.0,,,,0.16392769,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0403548779522688,-9.53709137004946e-05
ANT,1991,-0.001012111901719,-0.0010113739933151,0.5469196312208705,0.0088306354036854,0.0016917132663965,0.0,0.0,7.0,,,,0.1669678,,,,0.003866,0.002508,,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.1016610382402271,-0.0008701669086415
ARE,1991,-0.00550583175735,-0.0065541291467534,-0.0088012831567549,-0.0009044713851713,-0.0144160375294979,0.0,0.0,7.0,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0455890728858955,0.0010584857772286
ARG,1991,-0.0044173230889131,0.0039507356597721,-0.0011283155086921,-0.0005229382843933,-0.0026939328800512,0.0,0.0,7.0,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0540007801071088,-0.0002921927745807
ARM,1991,-4.946159517688557e-07,-1.9499445850221265e-05,3.8658066857593073e-07,1.6450777769952445e-07,7.897762533081144e-06,0.0,0.0,7.0,-0.13259126,0.08142494,0.047961045,0.15959682,0.0085,,0.001272,0.004576,0.001291,0.0,0.0,0.000178151,0.000178147,-0.006785229,-0.17994289,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0089838913118515,-0.000497246308508
ATG,1991,-7.819995862675191e-05,-0.0021534171051834,-0.0005401452248301,-0.0002424145070765,6.030570945406849e-05,0.0,0.0,7.0,,,,0.1669678,,,0.001643,0.00684,0.001063,0.01,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0575942916743194,7.458406324669514e-05
AUS,1991,0.0014655176761265,-0.0004520672962694,0.0011126961876398,0.0004182321410768,-0.0034251989403892,0.0,0.0,7.0,-0.011807567,0.09752781,0.00814521,0.16698068,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.000144042,0.000144039,-0.00530684,-0.031692594,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0444589547873445,-0.0084617034386534
AUT,1991,-0.0001217687753069,-0.03735846696332,-0.0004749059407153,0.0014416720872667,-0.0005180535458176,0.0,0.0,7.0,0.023317514,0.08964238,0.04552119,0.16392769,0.01,0.040271357,0.001068,0.004146,0.001522,0.0,0.0,0.00012286,0.00012286,-0.002113208,-0.005829521,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0511596887996366,-0.0001014957262203
AZE,1991,0.0012246850342382,0.0130389059671919,0.0005938443318526,0.0003205063755911,0.0037625269060801,0.0,1.0,7.0,-0.028476797,0.08903679,0.0444817,0.15959682,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.000218652,0.000218656,-0.006785229,-0.07156679,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0332150671304855,0.0006682490379981
