country,t,s1,s2,s6,s10,s19,coup,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff
ABW,1991,-0.0362314126591034,0.0249541736737419,0.0096495106826419,0.3770695757946756,-0.0094804110061095,0.0,0.0,7.0,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,-0.005542085,,,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0480836483667797,-0.0053383916102788
AFG,1991,0.0031786040833721,0.0036549435276096,0.0028995913202369,0.0039873132973153,0.0027691924813794,0.0,,7.0,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0421767894223182,5.428138330280247e-05
AGO,1991,0.0005776795026459,-0.0022420075287005,0.0023305419291464,0.0043808817692385,-0.0006377498611784,0.0,,7.0,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,0.002,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.039231228570576,-0.0003030334904443
ALB,1991,-0.0015111630322794,0.0064217709775407,0.0109974083617155,0.0102760531209983,0.0008519904501955,0.0,0.0,7.0,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.059060336318957,-0.0003382151314234
AND,1991,-0.0019048068656945,-0.0232385001028877,0.0030717836747069,0.002617078871682,-0.0006936417441742,0.0,0.0,7.0,,,,0.16392769,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0403548779522688,-9.53709137004946e-05
ANT,1991,0.0048914288113997,0.0048882646209881,-2.291810395132604,0.003389928823139,-0.0042577507181927,0.0,0.0,7.0,,,,0.1669678,,,,0.003866,0.002508,,0.0,,,-0.005542085,,,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.1016610382402271,-0.0008701669086415
ARE,1991,0.0079380993618575,0.0065528087139972,0.0014961407846853,0.0199052625827466,0.0080239505186442,0.0,0.0,7.0,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0455890728858955,0.0010584857772286
ARG,1991,-0.001628031857744,-0.0090077231295154,0.0011236679648853,0.002939472810941,-0.0009736496789451,0.0,0.0,7.0,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0540007801071088,-0.0002921927745807
ARM,1991,-0.0044899669826522,-0.0409739278976504,-0.0229397014377037,-0.0334740590203205,-0.0310982835171161,0.0,0.0,7.0,-0.13259126,0.08142494,0.047961045,0.15959682,0.0085,,0.001272,0.004576,0.001291,0.0,0.0,0.000178151,0.000178147,-0.006785229,-0.17994289,,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0089838913118515,-0.000497246308508
ATG,1991,0.0021684256606647,-0.002299909623954,0.0030487544213142,-0.0034314521254403,0.0014165458784202,0.0,0.0,7.0,,,,0.1669678,,,0.001643,0.00684,0.001063,0.01,0.0,,,-0.005542085,,,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0575942916743194,7.458406324669514e-05
AUS,1991,0.0056861166664306,0.0036437574979055,0.0059691461061701,0.0034104252726119,0.0093703901675316,0.0,0.0,7.0,-0.011807567,0.09752781,0.00814521,0.16698068,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.000144042,0.000144039,-0.00530684,-0.031692594,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0444589547873445,-0.0084617034386534
AUT,1991,0.0007921130006675,0.1614784719179329,0.0003170042934806,-0.0012590418482521,-0.0007303171195008,0.0,0.0,7.0,0.023317514,0.08964238,0.04552119,0.16392769,0.01,0.040271357,0.001068,0.004146,0.001522,0.0,0.0,0.00012286,0.00012286,-0.002113208,-0.005829521,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0511596887996366,-0.0001014957262203
AZE,1991,0.0281897202104381,-0.1086817250858948,-0.0144439316530138,-0.0213281705604019,-0.0026810514348909,0.0,1.0,7.0,-0.028476797,0.08903679,0.0444817,0.15959682,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.000218652,0.000218656,-0.006785229,-0.07156679,,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0332150671304855,0.0006682490379981
BDI,1991,0.0010907076128579,0.0067201874571716,0.0006143035812423,0.0004805233033796,-0.0001144881456877,0.0,1.0,7.0,0.025492407,0.0863705,0.053925063,0.16698153,0.0015,0.04310799,0.002951,0.005158,0.002977,0.0,0.0,0.000236176,0.000236172,-0.00549379,0.018985786,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0565834578617173,0.0020059041448204
BEL,1991,-0.000286900184844,0.0059911864192496,0.0017685553985828,0.0058748527479202,0.0009714561024619,0.0,0.0,7.0,0.014750048,0.09210789,0.058003675,0.16392769,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.52e-05,3.52e-05,-0.002113208,-0.005028772,0.0,0.0019304724114074972,-0.009160139936754507,-0.011416511800118644,0.0031051756443967386,0.0010563130999243758,0.0526665796416028,-0.0003161461818878
