country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec
ABW,1990,0.073127209,0.125961296,0.017308731,0.562699986,0.069335942,0,7,,,,0.17250988,,,,0.004107,0.003889,,0
ABW,1991,0.067975837,0.130956457,0.015944757,0.652203468,0.058989932,0,7,,,,0.1669678,,,,0.004107,0.003889,,0
ABW,1992,0.072347944,0.135515234,0.015380615,0.674816142,0.068109372,0,7,,,,0.17566155,,,,0.004107,0.003889,,0
ABW,1993,0.05802618,0.12636446,0.014063386,0.675999414,0.059792387,0,7,,,,0.17415762,,,,0.004107,0.003889,,0
ABW,1994,0.047031491,0.121487089,0.012228965,0.733372939,0.050640196,0,7,,,,0.17707783,,,,0.004107,0.003889,,0
ABW,1995,0.062730401,0.125913945,0.013279801,0.854643679,0.053177197,0,7,,,,0.17063856,,,,0.004107,0.003889,,0
ABW,1996,0.072787571,0.115139527,0.011404523,0.891235491,0.049728241,0,7,,,,0.17212138,,,,0.004107,0.003889,,0
ABW,1997,0.097673106,0.120288147,0.00938715,0.776235467,0.041669084,0,7,,,,0.16776446,,,,0.004107,0.003889,,0
ABW,1998,0.058018202,0.088019722,0.006496207,0.244720726,0.034976007,0,7,,,,0.17605251,,,,0.004107,0.003889,,0
ABW,1999,0.053657317,0.086470235,0.00638251,0.228396737,0.034565382,0,7,,,,0.17840567,,,,0.004107,0.003889,,0
ABW,2000,0.025939594,0.039941504,0.005238118,0.162012538,0.029133114,0,8,,,,0.16618782,,,,0.004107,0.003889,,0
ABW,2001,0.088200477,0.073596411,0.005501212,0.190135333,0.028723908,0,8,,,,0.16482581,,,,0.004107,0.003889,,0
ABW,2002,0.095608172,0.075685791,0.005580439,0.198742726,0.028046413,0,8,,,,0.1710447,,,,0.004107,0.003889,,0
ABW,2003,0.097131892,0.128600428,0.006515806,0.188330564,0.030455195,0,8,,,,0.17277542,,,,0.004107,0.003889,,0
ABW,2004,0.097822893,0.173572977,0.006914986,0.198716871,0.032855564,0,8,,,,0.17783023,,,,0.004107,0.003889,,0
ABW,2005,0.106072728,0.193927487,0.007336052,0.206458921,0.035200525,0,8,,,,0.18731844,,,,0.004107,0.003889,,0
ABW,2006,0.120389267,0.256075362,0.008580984,0.222518041,0.039976793,,8,,,,0.16697896,,,,0.004107,0.003889,,
ABW,2007,0.139006115,0.306830369,0.009576424,0.229067813,0.042747371,,8,,,,0.17194954,,,,0.004107,0.003889,,
ABW,2008,0.161025837,0.36584488,0.010551301,0.241066146,0.0479927,,8,,,,0.18447804,,,,0.004107,0.003889,,
AFG,1990,0.001539516,0.003510483,0.00078266,0.010440297,0.003501409,,7,-0.055807926,0.09593515,0.031203961,0.16638204,0.001,0.041835755,0.007693,0.002717,0.006141,0,0
AFG,1991,0.001951994,0.004022835,0.001032623,0.014097591,0.004649815,,7,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0,0
AFG,1992,0.002816362,0.004514789,0.001353524,0.017924802,0.006018663,,7,-0.07953044,0.09700019,0.032269005,0.17415069,0.005,0.041835755,0.007693,0.002717,0.006141,0,0
AFG,1993,0.00437133,0.005870936,0.001682429,0.02144432,0.007062563,,7,-0.13935366,0.09818561,0.033454414,0.16921195,0.005,0.041835755,0.007693,0.002717,0.006141,0,0
AFG,1994,0.007751528,0.00819944,0.002254119,0.027254975,0.009065049,,7,-0.10450654,0.09898508,0.0342539,0.17487785,0.005,0.041835755,0.007693,0.002717,0.006141,0,0
AFG,1995,0.008021565,0.006894933,0.002195786,0.026618372,0.008119226,,7,0.20266731,0.09946618,0.03473499,0.16840482,0.005,0.041835755,0.007693,0.002717,0.006141,0,0
