country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,outp,gross_output,trans_outp_p
ABW,1991,-0.005151372,0.004995161,-0.001363974,0.089503482,-0.01034601,0.0,7,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,-0.005542085,,,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,83.80829594,1742.968739,0.048083648
AFG,1991,0.000412478,0.000512352,0.000249963,0.003657294,0.001148406,,7,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,232.0690668,5502.293321,0.042176789
AGO,1991,0.00032578,-7.86e-05,0.00029569,0.005630483,0.001193536,,7,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,1.333333333,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,909.8428691,23191.80159,0.039231229
ALB,1991,0.000273226,0.000601501,0.001810393,0.017265934,0.001691371,0.0,7,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.375,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,170.9188224,2893.969677,0.059060336
AND,1991,-0.000281783,-0.003039009,0.006717066,0.001553128,-4.72e-05,0.0,7,,,,0.16392769,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,99.1997032,2458.1837,0.040354878
ANT,1991,-0.009365093,-0.009367613,1.673008373,-0.001672449,-0.006428065,0.0,7,,,,0.1669678,,,,0.003866,0.002508,,0.0,,,-0.005542085,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,383.6517194,3773.832395,0.101661038
ARE,1991,-0.003075585,-0.002011935,-0.002317879,-0.021863718,-0.005890262,0.0,7,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,-0.894736842,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,5091.817823,111689.4357,0.045589073
ARG,1991,0.000158454,0.000539813,0.001035802,0.008555555,0.000630518,0.0,7,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,7.5,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,16296.71571,301786.672,0.05400078
ARM,1991,-1.46e-07,-1.57e-05,-1.34e-07,-1.04e-06,-4.6e-06,0.0,7,-0.13259126,0.08142494,0.047961045,0.15959682,0.0085,,0.001272,0.004576,0.001291,0.0,0.0,0.000178151,0.000178147,-0.006785229,-0.17994289,-0.055555556,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,80972.83639,9013113.981,0.008983891
ATG,1991,0.000453564,0.001553653,-5.13e-05,0.000258417,0.000279218,0.0,7,,,,0.1669678,,,0.001643,0.00684,0.001063,0.01,0.0,,,-0.005542085,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,55.75351404,968.0388876,0.057594292
