country,t,1.0,2.0,6.0,10.0,19.0,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec
ABW,1991.0,0.005012872,-0.005746131,0.0020512,-0.063026838,0.001812022,0.0,7.0,,,,0.1669678,,,,0.004107,0.003889,,0.0
ABW,1992.0,-0.006329691,-0.028218065,-0.000663646,-0.099768828,0.001542099,0.0,7.0,,,,0.17566155,,,,0.004107,0.003889,,0.0
ABW,1993.0,0.00453735,0.016739585,0.000662309,0.032292694,-0.000843844,0.0,7.0,,,,0.17415762,,,,0.004107,0.003889,,0.0
ABW,1994.0,0.021965754,-0.001248386,0.001952238,-0.02015484,0.000902864,0.0,7.0,,,,0.17707783,,,,0.004107,0.003889,,0.0
ABW,1995.0,0.006880859,0.019844639,0.00160195,-0.264218065,0.001183755,0.0,7.0,,,,0.17063856,,,,0.004107,0.003889,,0.0
ABW,1996.0,-0.02068296,0.031305455,0.001875584,0.407227196,-0.001830889,0.0,7.0,,,,0.17212138,,,,0.004107,0.003889,,0.0
ABW,1997.0,-0.039183503,-0.019395156,0.000693113,0.453558794,-0.001630534,0.0,7.0,,,,0.16776446,,,,0.004107,0.003889,,0.0
ABW,1998.0,0.030152432,0.076408526,0.00943858,0.384378124,0.001391795,0.0,7.0,,,,0.17605251,,,,0.004107,0.003889,,0.0
ABW,1999.0,0.004715781,0.003540682,-0.000685538,0.003776364,-0.000883459,0.0,7.0,,,,0.17840567,,,,0.004107,0.003889,,0.0
ABW,2000.0,0.033835391,0.043047696,0.001719132,0.006798679,-0.001284187,0.0,8.0,,,,0.16618782,,,,0.004107,0.003889,,0.0
ABW,2001.0,-0.08362206,-0.024806403,-0.002177414,-0.001644854,0.007797198,0.0,8.0,,,,0.16482581,,,,0.004107,0.003889,,0.0
ABW,2002.0,-0.005046245,-0.004353663,0.000170218,-0.00140849,-0.000414078,0.0,8.0,,,,0.1710447,,,,0.004107,0.003889,,0.0
ABW,2003.0,0.015670474,-0.137742627,-0.002460247,0.005227865,0.001260502,0.0,8.0,,,,0.17277542,,,,0.004107,0.003889,,0.0
ABW,2004.0,0.004441289,-0.121492928,0.000230573,0.000448216,0.001787535,0.0,8.0,,,,0.17783023,,,,0.004107,0.003889,,0.0
ABW,2005.0,-0.009860155,-0.062159812,0.000479549,-0.000325358,0.000484486,0.0,8.0,,,,0.18731844,,,,0.004107,0.003889,,0.0
ABW,2006.0,-0.003592776,-0.156236111,-0.001469207,-0.000523899,0.000207836,,8.0,,,,0.16697896,,,,0.004107,0.003889,,
ABW,2007.0,-0.001284163,-0.113376987,-0.003680645,-0.001422763,5.52e-05,,8.0,,,,0.17194954,,,,0.004107,0.003889,,
ABW,2008.0,-0.013080066,-0.135797494,-0.000679593,-0.00065825,0.001388553,,8.0,,,,0.18447804,,,,0.004107,0.003889,,
AFG,1991.0,0.004180882,0.000827332,5.66e-05,-1.02e-05,0.000176628,,7.0,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1992.0,0.005469721,0.001961495,0.000277314,5.27e-05,0.000625295,,7.0,-0.07953044,0.09700019,0.032269005,0.17415069,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1993.0,0.004583875,0.004599215,0.000566524,0.000218775,0.000622692,,7.0,-0.13935366,0.09818561,0.033454414,0.16921195,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1994.0,0.009096812,0.005984921,0.000927042,0.00028173,0.001419584,,7.0,-0.10450654,0.09898508,0.0342539,0.17487785,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1995.0,-0.002391066,-0.007024627,-0.000598097,-0.000381991,-0.00024596,,7.0,0.20266731,0.09946618,0.03473499,0.16840482,0.005,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1996.0,0.002582711,0.000816518,0.00073846,8.42e-05,0.000657745,,7.0,0.02664417,0.09978592,0.03505473,0.15807389,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1997.0,-0.001148496,0.002278342,0.001117335,0.000155761,0.000908789,,7.0,0.028209182,0.10009082,0.03535963,0.16461685,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1998.0,-0.014237057,0.001965035,0.00084504,0.000115286,0.00069371,,7.0,0.028261118,0.10039452,0.03566333,0.16525303,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,1999.0,0.001183916,0.00121553,0.000358759,5.47e-05,0.000456181,,7.0,0.02707857,0.10070955,0.03597836,0.17285785,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2000.0,-0.006859632,-0.003436701,-1.87e-05,-0.000181088,6.7e-05,,8.0,-0.010547614,0.10081559,0.036084395,0.16520521,0.0015,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2001.0,0.011658381,-0.002625233,-0.001371737,-2.31e-05,-0.001042163,,8.0,-0.103735685,0.10085701,0.036125824,0.16047455,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2002.0,-0.003679766,-0.001699173,-0.000381013,-0.00010525,-0.000565464,0.0,8.0,0.22132233,0.1013731,0.036641914,0.16952968,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2003.0,0.012605848,-0.00548626,-0.000169198,6.36e-05,0.000960978,0.0,8.0,0.08035057,0.102058254,0.037327062,0.16795917,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2004.0,0.000391492,-0.002675265,-0.000356393,-5.01e-05,-0.000291797,0.0,8.0,0.024951186,0.10258139,0.037850205,0.17561467,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2005.0,-0.002889767,-0.00185184,-0.000300833,-8.55e-05,-0.000514799,1.0,8.0,0.10609096,0.103065826,0.038334638,0.18637902,,0.041835755,0.007693,0.002717,0.006141,0.0,0.0
AFG,2006.0,0.002070759,-0.002543801,-0.000171417,1.33e-05,6.59e-05,,8.0,0.042711347,0.10343579,0.038704608,0.15531127,,0.041835755,0.007693,0.002717,0.006141,0.0,
AFG,2007.0,-0.004845336,-0.001993318,-0.000572842,-0.000192366,-0.000894214,,8.0,0.091707274,0.10370045,0.038969267,0.16843173,,0.041835755,0.007693,0.002717,0.006141,0.0,
AFG,2008.0,0.004660789,-0.00028282,0.000391267,0.000197113,0.001000805,,8.0,0.007227225,0.10396303,0.039231844,0.17586218,,0.041835755,0.007693,0.002717,0.006141,0.0,
AGO,1991.0,-0.001351035,-0.002974912,-0.000933657,-0.000488795,-0.002293888,,7.0,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1992.0,0.001862672,0.001247457,0.00106394,0.000435658,0.006209617,,7.0,-0.03767939,0.090758756,0.019476203,0.1756522,0.005,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1993.0,0.001102009,0.002216238,0.001470516,0.000536033,0.004539372,,7.0,-0.2883258,0.09101224,0.019729683,0.17499132,0.0045,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1994.0,0.004646663,0.003330443,0.003400276,0.001621443,0.007887414,,7.0,-0.009591668,0.091239415,0.019956859,0.17706619,0.0045,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1995.0,0.010086096,0.014939281,0.008201929,0.003887845,0.013234028,0.0,7.0,0.07484041,0.091504976,0.02022242,0.1714343,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1996.0,-0.00041557,-0.001821183,0.00141052,0.000414438,-0.002438834,0.0,7.0,0.0854217,0.09174776,0.020465208,0.17212342,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1997.0,-0.006216874,-0.007181516,-0.004336389,-0.002150779,-0.003050808,0.0,7.0,0.056571197,0.09195793,0.020675376,0.16825536,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1998.0,0.000709612,0.001420357,0.004457073,0.00386789,-0.002346659,1.0,7.0,0.048434533,0.0921425,0.020859947,0.17636524,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,1999.0,0.004511114,0.004281422,0.002677875,-6.18e-05,0.005953001,,7.0,0.015193339,0.09231656,0.021034006,0.17923258,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2000.0,-0.008141838,-0.007944598,-0.000461277,-0.000297453,-0.001007157,,8.0,0.013840456,0.09247373,0.021191174,0.16637819,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2001.0,-4.26e-05,-0.00301093,-0.002868054,-0.001417503,-0.001195197,,8.0,0.015271537,0.0926278,0.021345245,0.16554393,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2002.0,0.000378014,0.000734412,0.000957123,0.000204466,-0.001865119,0.0,8.0,0.120335616,0.09283638,0.02155383,0.17138055,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2003.0,0.000436964,-0.002888877,-0.001291034,-0.000235818,0.004068605,0.0,8.0,0.006218927,0.093108274,0.021825718,0.17185913,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2004.0,0.00063024,-0.002069503,4.35e-06,-0.00017154,0.001472345,0.0,8.0,0.07934761,0.0934059,0.022123346,0.17788023,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2005.0,0.000587705,0.001111188,0.000789643,8.6e-05,-0.003863107,0.0,8.0,0.17353512,0.09367938,0.02239683,0.1877313,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,0.0
AGO,2006.0,0.002570844,0.00128323,0.001167074,0.000870398,0.000171713,,8.0,0.15766905,0.093920626,0.02263807,0.1670528,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,
AGO,2007.0,-0.003278224,-0.003861178,-0.002328532,-0.001351902,0.000303784,,8.0,0.17641811,0.094143905,0.02286135,0.1729844,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,
AGO,2008.0,-0.000963604,-0.001553373,-0.000939942,-0.000500647,0.000674581,,8.0,0.107804865,0.0943599,0.02307734,0.1845921,0.004,0.022721259,0.007867,0.006276,0.00787,0.0,
ALB,1991.0,-0.004148493,-0.007079466,-0.001381191,-0.000149325,-0.005184254,0.0,7.0,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1992.0,0.004747172,0.002737505,0.002173592,-0.00046636,0.004595471,0.0,7.0,-0.08100274,0.08109675,0.047992054,0.17563812,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1993.0,0.000343696,0.00377462,0.004708443,0.000306841,-0.00146671,0.0,7.0,0.08777332,0.0811721,0.0480674,0.1741945,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1994.0,-0.002059944,0.002413901,0.003351049,7.48e-05,5.17e-05,0.0,7.0,0.07441915,0.08125164,0.048146944,0.1747447,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1995.0,0.000481925,0.001429245,0.004168932,-1.23e-05,0.002074832,0.0,7.0,0.12563932,0.08131682,0.048212126,0.17028117,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1996.0,-0.003466976,-0.004527158,-0.001680107,-6.06e-05,-0.002400958,0.0,7.0,0.08645776,0.081358545,0.048253845,0.1719349,0.005,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1997.0,0.001062145,0.004316964,0.001285397,0.000142822,0.001661452,0.0,7.0,-0.10548546,0.08139744,0.048292734,0.1655391,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1998.0,-0.000429711,-0.002065346,0.000578031,6.82e-05,-0.000932235,0.0,7.0,0.12267845,0.08143585,0.048331153,0.17579204,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,1999.0,0.007895211,0.000327373,0.002288044,1.45e-05,0.00187671,0.0,7.0,0.09582251,0.08148299,0.04837829,0.17643961,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
ALB,2000.0,0.015904929,0.004150228,0.001061499,0.000125819,0.002228915,0.0,8.0,0.06795225,0.08153015,0.048425443,0.15190119,0.0075,,0.002204,0.004719,0.000399,0.0,0.0
