country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,trans_outp,gross output,trans_outp_p,avgs1,avgs2,avgs6,avgs10,avgs19
ABW,1991,0.005012872,-0.005746131,0.0020512,-0.063026838,0.001812022,0.0,7,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,-0.005542085,,,83.80829594,110.2413333,0.76022571,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
AFG,1991,0.004180882,0.000827332,5.66e-05,-1.02e-05,0.000176628,,7,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,,232.0690668,706.4314849,0.328508952,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
AGO,1991,-0.001351035,-0.002974912,-0.000933657,-0.000488795,-0.002293888,,7,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,1.333333333,909.8428691,2325.774063,0.391200024,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ALB,1991,-0.004148493,-0.007079466,-0.001381191,-0.000149325,-0.005184254,0.0,7,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.375,170.9188224,554.7397001,0.308106347,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
AND,1991,-0.000866176,-0.001059439,0.000850503,0.00030044,-0.00071701,0.0,7,,,,0.16392769,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,0.0,99.1997032,244.1408849,0.406321552,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ANT,1991,-0.001012112,-0.001011374,0.546919631,0.008830635,0.001691714,0.0,7,,,,0.1669678,,,,0.003866,0.002508,,0.0,,,-0.005542085,,0.0,383.6517194,451.4280196,0.849862443,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ARE,1991,-0.005505832,-0.006554129,-0.008801284,-0.000904471,-0.014416037,0.0,7,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,-0.894736842,5091.817823,11928.93961,0.426845804,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ARG,1991,-0.004417323,0.003950735,-0.001128316,-0.000522938,-0.002693933,0.0,7,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,7.5,16296.71571,43730.45259,0.372662864,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ARM,1991,-4.92e-07,-1.95e-05,3.89e-07,1.65e-07,7.9e-06,0.0,7,-0.13259126,0.08142494,0.047961045,0.15959682,0.0085,,0.001272,0.004576,0.001291,0.0,0.0,0.000178151,0.000178147,-0.006785229,-0.17994289,-0.055555556,80972.83639,2904427.129,0.027879108,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ATG,1991,-7.82e-05,-0.002153417,-0.000540145,-0.000242414,6.03e-05,0.0,7,,,,0.1669678,,,0.001643,0.00684,0.001063,0.01,0.0,,,-0.005542085,,0.0,55.75351404,121.8210208,0.457667434,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
AUS,1991,0.001465518,-0.000452067,0.001112696,0.000418233,-0.003425199,0.0,7,-0.011807567,0.09752781,0.00814521,0.16698068,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.000144042,0.000144039,-0.00530684,-0.031692594,0.333333333,21432.6459,62671.67653,0.341982967,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
AUT,1991,-0.000121769,-0.037358467,-0.000474905,0.001441672,-0.000518054,0.0,7,0.023317514,0.08964238,0.04552119,0.16392769,0.01,0.040271357,0.001068,0.004146,0.001522,0.0,0.0,0.00012286,0.00012286,-0.002113208,-0.005829521,0.0,15359.42557,39229.69767,0.391525464,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
AZE,1991,0.001224685,0.013038906,0.000593844,0.000320507,0.003762527,1.0,7,-0.028476797,0.08903679,0.0444817,0.15959682,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.000218652,0.000218656,-0.006785229,-0.07156679,-0.65,296.3153918,1748.325227,0.169485281,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BDI,1991,0.003879814,-0.001046252,-4.32e-05,-0.000112164,0.000466185,1.0,7,0.025492407,0.0863705,0.053925063,0.16698153,0.0015,0.04310799,0.002951,0.005158,0.002977,0.0,0.0,0.000236176,0.000236172,-0.00549379,0.018985786,0.0,179.8763229,459.1368286,0.391770626,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BEL,1991,0.004102357,0.003438975,0.000616136,-0.000702363,-0.000177038,0.0,7,0.014750048,0.09210789,0.058003675,0.16392769,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.52e-05,3.52e-05,-0.002113208,-0.005028772,0.25,24771.0813,59420.32728,0.416878911,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BEN,1991,0.000590816,-0.001516571,4.43e-05,-7.32e-05,0.000202693,0.0,7,0.014734026,0.084877774,0.037816763,0.16698153,0.008,-0.095670156,0.007871999,0.005544,0.007905,0.0,0.0,0.000313021,0.000313021,-0.00549379,0.009892043,-0.111111111,158.7007497,438.1113724,0.362238371,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BFA,1991,-0.000695831,0.000702944,0.000102439,1.64e-05,-0.000311391,0.0,7,0.06420757,0.09064417,0.034520198,0.16698153,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.000330791,0.000330798,-0.00549379,0.049520146,-0.705882353,142.7155384,621.7378148,0.22954296,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BGD,1991,0.000140377,0.001428371,0.000270793,1.2e-05,0.000530408,0.0,7,0.010073495,0.11644036,0.06746869,0.15959682,0.008,-0.095670156,0.000454,0.00209,0.000925,0.01,0.0,0.000228249,0.000228249,-0.006785229,-0.003773195,0.6,1795.342947,6518.071396,0.275440823,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BGR,1991,0.003951421,0.010784162,0.00797912,0.003327039,0.015168939,0.0,7,-0.07129642,0.09079362,0.043738943,0.16392769,0.009,0.03010621,0.004021,0.005965,0.003031,0.0,0.0,-0.000137739,-0.000137731,-0.002113208,-0.09436564,3.5,975.7057724,5177.33622,0.188457101,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BHR,1991,0.000533643,0.006886419,0.001585634,0.000167789,-0.000820602,0.0,7,0.016039034,0.06244621,0.06652589,0.15959682,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.000290614,0.00029061,-0.006785229,-0.006351847,-1.0,354.9859198,818.7029374,0.433595513,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BHS,1991,0.001931689,0.002289509,0.000434905,-7.5e-05,-0.000219272,0.0,7,,,,0.1669678,,-0.095670156,0.004228,0.006815,0.001855,0.01,0.0,,,-0.005542085,,0.0,233.1518246,500.9316504,0.465436401,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BIH,1991,0.001516267,0.000538192,0.001384533,5.24e-05,0.00152484,1.0,7,,0.08400526,0.044661738,0.16392769,,0.041026432,0.0063,0.006851,0.006751,,0.0,,,-0.002113208,,0.0,632.5870449,1513.138443,0.4180629,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
