country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19
ABW,1991,-0.036231413,0.024954173,0.009649511,0.377069576,-0.009480411,0.0,7,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,-0.005542085,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
AFG,1991,0.003178604,0.003654944,0.002899591,0.003987313,0.002769192,,7,-0.005721076,0.09607233,0.031341143,0.15959682,0.001,0.041835755,0.007693,0.002717,0.006141,0.0,0.0,0.00013718,0.000137182,-0.006785229,-0.013175661,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
AGO,1991,0.00057768,-0.002242008,0.002330542,0.004380882,-0.00063775,,7,-0.016783185,0.09047446,0.019191908,0.16698153,0.0035,0.022721259,0.007867,0.006276,0.00787,0.0,0.0,0.000238441,0.000238443,-0.00549379,-0.029494645,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ALB,1991,-0.001511163,0.006421771,0.010997408,0.010276053,0.000851991,0.0,7,-0.2894964,0.08099927,0.047894567,0.16392769,0.0055,,0.002204,0.004719,0.000399,0.0,0.0,0.000132777,0.000132769,-0.002113208,-0.31608972,0.375,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
AND,1991,-0.001904806,-0.0232385,0.003071784,0.002617079,-0.000693642,0.0,7,,,,0.16392769,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ANT,1991,0.004891429,0.004888264,-2.291810396,0.003389929,-0.004257751,0.0,7,,,,0.1669678,,,,0.003866,0.002508,,0.0,,,-0.005542085,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ARE,1991,0.0079381,0.006552809,0.001496141,0.019905263,0.008023951,0.0,7,-0.055138156,0.07568735,0.03142691,0.15959682,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ARG,1991,-0.001628032,-0.009007723,0.001123668,0.002939473,-0.00097365,0.0,7,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0,0.000140667,0.000140671,-0.005542085,0.07150562,7.5,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ARM,1991,-0.004489967,-0.040973928,-0.022939701,-0.033474059,-0.031098284,0.0,7,-0.13259126,0.08142494,0.047961045,0.15959682,0.0085,,0.001272,0.004576,0.001291,0.0,0.0,0.000178151,0.000178147,-0.006785229,-0.17994289,-0.055555556,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ATG,1991,0.002168426,-0.002299909,0.003048755,-0.003431452,0.001416546,0.0,7,,,,0.1669678,,,0.001643,0.00684,0.001063,0.01,0.0,,,-0.005542085,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
AUS,1991,0.005686117,0.003643758,0.005969146,0.003410425,0.00937039,0.0,7,-0.011807567,0.09752781,0.00814521,0.16698068,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.000144042,0.000144039,-0.00530684,-0.031692594,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
AUT,1991,0.000792113,0.161478472,0.000317004,-0.001259042,-0.000730317,0.0,7,0.023317514,0.08964238,0.04552119,0.16392769,0.01,0.040271357,0.001068,0.004146,0.001522,0.0,0.0,0.00012286,0.00012286,-0.002113208,-0.005829521,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
AZE,1991,0.02818972,-0.108681725,-0.014443932,-0.02132817,-0.002681051,1.0,7,-0.028476797,0.08903679,0.0444817,0.15959682,0.0035,0.032425925,0.002047,0.004899,0.002054,0.0,0.0,0.000218652,0.000218656,-0.006785229,-0.07156679,-0.65,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BDI,1991,0.001090707,0.006720188,0.000614304,0.000480523,-0.000114488,1.0,7,0.025492407,0.0863705,0.053925063,0.16698153,0.0015,0.04310799,0.002951,0.005158,0.002977,0.0,0.0,0.000236176,0.000236172,-0.00549379,0.018985786,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BEL,1991,-0.0002869,0.005991186,0.001768555,0.005874853,0.000971457,0.0,7,0.014750048,0.09210789,0.058003675,0.16392769,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.52e-05,3.52e-05,-0.002113208,-0.005028772,0.25,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BEN,1991,0.00472985,0.009153424,0.002174065,0.001312775,0.001020533,0.0,7,0.014734026,0.084877774,0.037816763,0.16698153,0.008,-0.095670156,0.007871999,0.005544,0.007905,0.0,0.0,0.000313021,0.000313021,-0.00549379,0.009892043,-0.111111111,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
