country,sect,t,source,gvcobp%,gvcofp%,gvcomix%,gvcobp_diff,gvcofp_diff,gvcomix_diff,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec
ABW,1,1990,eora,0.073127209,0.009674316,0.237970705,,,,0,7,,,,0.17250988,,,,0.004107,0.003889,,0
ABW,1,1991,eora,0.067975837,0.014687188,0.201739292,-0.005151372,0.005012872,-0.036231413,0,7,,,,0.1669678,,,,0.004107,0.003889,,0
ABW,1,1992,eora,0.072347944,0.008357497,0.257955104,0.004372107,-0.006329691,0.056215812,0,7,,,,0.17566155,,,,0.004107,0.003889,,0
ABW,1,1993,eora,0.05802618,0.012894847,0.233658745,-0.014321764,0.00453735,-0.024296359,0,7,,,,0.17415762,,,,0.004107,0.003889,,0
ABW,1,1994,eora,0.047031491,0.034860601,0.251112138,-0.010994689,0.021965754,0.017453393,0,7,,,,0.17707783,,,,0.004107,0.003889,,0
ABW,1,1995,eora,0.062730401,0.04174146,0.279949399,0.01569891,0.006880859,0.028837261,0,7,,,,0.17063856,,,,0.004107,0.003889,,0
ABW,1,1996,eora,0.072787571,0.0210585,0.317057453,0.01005717,-0.02068296,0.037108054,0,7,,,,0.17212138,,,,0.004107,0.003889,,0
ABW,1,1997,eora,0.097673106,-0.018125003,0.385376512,0.024885535,-0.039183503,0.068319059,0,7,,,,0.16776446,,,,0.004107,0.003889,,0
ABW,1,1998,eora,0.058018202,0.012027429,0.31040189,-0.039654904,0.030152432,-0.074974622,0,7,,,,0.17605251,,,,0.004107,0.003889,,0
ABW,1,1999,eora,0.053657317,0.01674321,0.293214376,-0.004360885,0.004715781,-0.017187514,0,7,,,,0.17840567,,,,0.004107,0.003889,,0
ABW,1,2000,eora,0.025939594,0.050578601,0.190454581,-0.027717723,0.033835391,-0.102759795,0,8,,,,0.16618782,,,,0.004107,0.003889,,0
ABW,1,2001,eora,0.088200477,-0.033043459,0.385014122,0.062260883,-0.08362206,0.194559541,0,8,,,,0.16482581,,,,0.004107,0.003889,,0
ABW,1,2002,eora,0.095608172,-0.038089704,0.395637387,0.007407695,-0.005046245,0.010623265,0,8,,,,0.1710447,,,,0.004107,0.003889,,0
ABW,1,2003,eora,0.097131892,-0.02241923,0.402099032,0.00152372,0.015670474,0.006461645,0,8,,,,0.17277542,,,,0.004107,0.003889,,0
ABW,1,2004,eora,0.097822893,-0.017977941,0.416337706,0.000691001,0.004441289,0.014238674,0,8,,,,0.17783023,,,,0.004107,0.003889,,0
ABW,1,2005,eora,0.106072728,-0.027838096,0.447116254,0.008249835,-0.009860155,0.030778548,0,8,,,,0.18731844,,,,0.004107,0.003889,,0
ABW,1,2006,eora,0.120389267,-0.031430872,0.463496268,0.014316539,-0.003592776,0.016380014,,8,,,,0.16697896,,,,0.004107,0.003889,,
ABW,1,2007,eora,0.139006115,-0.032715035,0.461147932,0.018616848,-0.001284163,-0.002348336,,8,,,,0.17194954,,,,0.004107,0.003889,,
ABW,1,2008,eora,0.161025837,-0.045795101,0.514596856,0.022019722,-0.013080066,0.053448924,,8,,,,0.18447804,,,,0.004107,0.003889,,
ABW,2,1990,eora,0.125961296,-0.067988172,1.039452984,,,,0,7,,,,0.17250988,,,,0.004107,0.003889,,0
ABW,2,1991,eora,0.130956457,-0.073734303,1.064407157,0.004995161,-0.005746131,0.024954173,0,7,,,,0.1669678,,,,0.004107,0.003889,,0
ABW,2,1992,eora,0.135515234,-0.101952368,1.129274256,0.004558777,-0.028218065,0.064867099,0,7,,,,0.17566155,,,,0.004107,0.003889,,0
ABW,2,1993,eora,0.12636446,-0.085212783,1.058114196,-0.009150774,0.016739585,-0.07116006,0,7,,,,0.17415762,,,,0.004107,0.003889,,0
ABW,2,1994,eora,0.121487089,-0.086461169,1.030640431,-0.004877371,-0.001248386,-0.027473765,0,7,,,,0.17707783,,,,0.004107,0.003889,,0
ABW,2,1995,eora,0.125913945,-0.06661653,1.025716639,0.004426856,0.019844639,-0.004923792,0,7,,,,0.17063856,,,,0.004107,0.003889,,0
ABW,2,1996,eora,0.115139527,-0.035311075,0.93842904,-0.010774418,0.031305455,-0.087287599,0,7,,,,0.17212138,,,,0.004107,0.003889,,0
ABW,2,1997,eora,0.120288147,-0.054706231,1.020284189,0.00514862,-0.019395156,0.081855149,0,7,,,,0.16776446,,,,0.004107,0.003889,,0
ABW,2,1998,eora,0.088019722,0.021702295,0.651841186,-0.032268425,0.076408526,-0.368443003,0,7,,,,0.17605251,,,,0.004107,0.003889,,0
ABW,2,1999,eora,0.086470235,0.025242977,0.621975044,-0.001549487,0.003540682,-0.029866142,0,7,,,,0.17840567,,,,0.004107,0.003889,,0
ABW,2,2000,eora,0.039941504,0.068290673,0.21986222,-0.046528731,0.043047696,-0.402112824,0,8,,,,0.16618782,,,,0.004107,0.003889,,0
ABW,2,2001,eora,0.073596411,0.04348427,0.483649668,0.033654907,-0.024806403,0.263787448,0,8,,,,0.16482581,,,,0.004107,0.003889,,0
ABW,2,2002,eora,0.075685791,0.039130607,0.519515784,0.00208938,-0.004353663,0.035866116,0,8,,,,0.1710447,,,,0.004107,0.003889,,0
ABW,2,2003,eora,0.128600428,-0.09861202,1.179307963,0.052914637,-0.137742627,0.659792179,0,8,,,,0.17277542,,,,0.004107,0.003889,,0
ABW,2,2004,eora,0.173572977,-0.220104948,1.537837423,0.044972549,-0.121492928,0.35852946,0,8,,,,0.17783023,,,,0.004107,0.003889,,0
ABW,2,2005,eora,0.193927487,-0.28226476,1.743966142,0.02035451,-0.062159812,0.206128719,0,8,,,,0.18731844,,,,0.004107,0.003889,,0
ABW,2,2006,eora,0.256075362,-0.438500871,2.136439328,0.062147875,-0.156236111,0.392473186,,8,,,,0.16697896,,,,0.004107,0.003889,,
ABW,2,2007,eora,0.306830369,-0.551877858,2.45621695,0.050755007,-0.113376987,0.319777622,,8,,,,0.17194954,,,,0.004107,0.003889,,
ABW,2,2008,eora,0.36584488,-0.687675352,2.855215596,0.059014511,-0.135797494,0.398998646,,8,,,,0.18447804,,,,0.004107,0.003889,,
ABW,6,1990,eora,0.017308731,0.003310571,0.20444008,,,,0,7,,,,0.17250988,,,,0.004107,0.003889,,0
ABW,6,1991,eora,0.015944757,0.005361771,0.214089591,-0.001363974,0.0020512,0.009649511,0,7,,,,0.1669678,,,,0.004107,0.003889,,0
ABW,6,1992,eora,0.015380615,0.004698125,0.255535729,-0.000564142,-0.000663646,0.041446138,0,7,,,,0.17566155,,,,0.004107,0.003889,,0
ABW,6,1993,eora,0.014063386,0.005360434,0.231192236,-0.001317229,0.000662309,-0.024343493,0,7,,,,0.17415762,,,,0.004107,0.003889,,0
ABW,6,1994,eora,0.012228965,0.007312672,0.217807119,-0.001834421,0.001952238,-0.013385117,0,7,,,,0.17707783,,,,0.004107,0.003889,,0
ABW,6,1995,eora,0.013279801,0.008914622,0.229090622,0.001050836,0.00160195,0.011283503,0,7,,,,0.17063856,,,,0.004107,0.003889,,0
ABW,6,1996,eora,0.011404523,0.010790206,0.217006862,-0.001875278,0.001875584,-0.01208376,0,7,,,,0.17212138,,,,0.004107,0.003889,,0
ABW,6,1997,eora,0.00938715,0.011483319,0.190389325,-0.002017373,0.000693113,-0.026617537,0,7,,,,0.16776446,,,,0.004107,0.003889,,0
ABW,6,1998,eora,0.006496207,0.020921899,0.152276816,-0.002890943,0.00943858,-0.038112509,0,7,,,,0.17605251,,,,0.004107,0.003889,,0
ABW,6,1999,eora,0.00638251,0.020236361,0.155245373,-0.000113697,-0.000685538,0.002968557,0,7,,,,0.17840567,,,,0.004107,0.003889,,0
ABW,6,2000,eora,0.005238118,0.021955493,0.126333398,-0.001144392,0.001719132,-0.028911975,0,8,,,,0.16618782,,,,0.004107,0.003889,,0
ABW,6,2001,eora,0.005501212,0.019778079,0.141403974,0.000263094,-0.002177414,0.015070576,0,8,,,,0.16482581,,,,0.004107,0.003889,,0
ABW,6,2002,eora,0.005580439,0.019948297,0.137225195,7.92E-05,0.000170218,-0.004178779,0,8,,,,0.1710447,,,,0.004107,0.003889,,0
ABW,6,2003,eora,0.006515806,0.01748805,0.16015326,0.000935367,-0.002460247,0.022928065,0,8,,,,0.17277542,,,,0.004107,0.003889,,0
ABW,6,2004,eora,0.006914986,0.017718623,0.180708378,0.00039918,0.000230573,0.020555118,0,8,,,,0.17783023,,,,0.004107,0.003889,,0
ABW,6,2005,eora,0.007336052,0.018198172,0.191498313,0.000421066,0.000479549,0.010789935,0,8,,,,0.18731844,,,,0.004107,0.003889,,0
ABW,6,2006,eora,0.008580984,0.016728965,0.202814047,0.001244932,-0.001469207,0.011315734,,8,,,,0.16697896,,,,0.004107,0.003889,,
ABW,6,2007,eora,0.009576424,0.01304832,0.207365044,0.00099544,-0.003680645,0.004550997,,8,,,,0.17194954,,,,0.004107,0.003889,,
ABW,6,2008,eora,0.010551301,0.012368727,0.225469375,0.000974877,-0.000679593,0.018104331,,8,,,,0.18447804,,,,0.004107,0.003889,,
ABW,10,1990,eora,0.562699986,-0.841067306,3.929346902,,,,0,7,,,,0.17250988,,,,0.004107,0.003889,,0
ABW,10,1991,eora,0.652203468,-0.904094144,4.306416478,0.089503482,-0.063026838,0.377069576,0,7,,,,0.1669678,,,,0.004107,0.003889,,0
ABW,10,1992,eora,0.674816142,-1.003862972,4.427035237,0.022612674,-0.099768828,0.120618759,0,7,,,,0.17566155,,,,0.004107,0.003889,,0
ABW,10,1993,eora,0.675999414,-0.971570278,4.359183749,0.001183272,0.032292694,-0.067851488,0,7,,,,0.17415762,,,,0.004107,0.003889,,0
ABW,10,1994,eora,0.733372939,-0.991725118,4.371249018,0.057373525,-0.02015484,0.012065269,0,7,,,,0.17707783,,,,0.004107,0.003889,,0
ABW,10,1995,eora,0.854643679,-1.255943183,5.099872644,0.12127074,-0.264218065,0.728623626,0,7,,,,0.17063856,,,,0.004107,0.003889,,0
ABW,10,1996,eora,0.891235491,-0.848715987,3.691605682,0.036591812,0.407227196,-1.408266962,0,7,,,,0.17212138,,,,0.004107,0.003889,,0
ABW,10,1997,eora,0.776235467,-0.395157193,1.917927842,-0.115000024,0.453558794,-1.77367784,0,7,,,,0.16776446,,,,0.004107,0.003889,,0
ABW,10,1998,eora,0.244720726,-0.010779069,0.200592934,-0.531514741,0.384378124,-1.717334908,0,7,,,,0.17605251,,,,0.004107,0.003889,,0
ABW,10,1999,eora,0.228396737,-0.007002705,0.167324548,-0.016323989,0.003776364,-0.033268386,0,7,,,,0.17840567,,,,0.004107,0.003889,,0
ABW,10,2000,eora,0.162012538,-0.000204026,0.106638458,-0.066384199,0.006798679,-0.06068609,0,8,,,,0.16618782,,,,0.004107,0.003889,,0
ABW,10,2001,eora,0.190135333,-0.00184888,0.129546128,0.028122795,-0.001644854,0.02290767,0,8,,,,0.16482581,,,,0.004107,0.003889,,0
ABW,10,2002,eora,0.198742726,-0.00325737,0.129379363,0.008607393,-0.00140849,-0.000166765,0,8,,,,0.1710447,,,,0.004107,0.003889,,0
ABW,10,2003,eora,0.188330564,0.001970495,0.129074548,-0.010412162,0.005227865,-0.000304815,0,8,,,,0.17277542,,,,0.004107,0.003889,,0
ABW,10,2004,eora,0.198716871,0.002418711,0.152316152,0.010386307,0.000448216,0.023241604,0,8,,,,0.17783023,,,,0.004107,0.003889,,0
