country,t,outp,gross_output,trans_outp_p
ABW,1990,74.69955434,1398.290937,0.05342204
ABW,1991,83.80829594,1742.968739,0.048083648
ABW,1992,91.38582313,1772.682082,0.051552291
ABW,1993,98.83609626,1972.754854,0.050100546
ABW,1994,114.1004814,2335.418334,0.048856549
ABW,1995,117.9177773,2318.595585,0.050857415
ABW,1996,130.4518083,2438.305182,0.053501018
ABW,1997,142.6839066,2731.105253,0.052244016
ABW,1998,157.3861259,2975.02241,0.052902501
ABW,1999,168.3465516,3118.257381,0.053987382
ABW,2000,163.0187179,3346.267048,0.048716589
ABW,2001,162.5611529,3424.534974,0.047469555
ABW,2002,163.1262957,3461.018062,0.04713246
ABW,2003,171.2748547,3626.84193,0.04722424
ABW,2004,196.3034715,4006.185002,0.049000101
ABW,2005,214.2417692,4259.675312,0.050295329
ABW,2006,230.7742916,4501.65772,0.051264291
ABW,2007,251.1709923,4852.602164,0.051760063
ABW,2008,270.0233845,5136.257998,0.052572006
AFG,1990,247.7355273,5881.309988,0.042122508
AFG,1991,232.0690668,5502.293321,0.042176789
AFG,1992,245.1560144,5820.078893,0.042122456
AFG,1993,192.9745432,4586.58204,0.042073714
AFG,1994,159.0928829,3732.751393,0.042620809
AFG,1995,251.4274448,5829.842073,0.04312766
AFG,1996,243.7533226,5720.002935,0.042614195
AFG,1997,235.4576145,5604.303154,0.042013718
AFG,1998,230.7857529,5615.50514,0.041097951
AFG,1999,218.4020045,5355.349421,0.040782027
AFG,2000,279.496542,7112.007327,0.039299248
AFG,2001,290.5297283,7204.546256,0.040325888
AFG,2002,332.4084194,8140.894217,0.04083193
AFG,2003,410.0913352,9900.71969,0.041420356
AFG,2004,464.7967512,11094.92806,0.041892723
AFG,2005,544.3129024,12973.07634,0.041957119
AFG,2006,653.8461457,15488.76532,0.04221422
AFG,2007,826.5458433,19638.7204,0.042087561
AFG,2008,893.5432362,21033.63914,0.042481628
AGO,1990,769.6960448,19469.08845,0.039534262
AGO,1991,909.8428691,23191.80159,0.039231229
AGO,1992,1099.064232,28091.69007,0.039124176
AGO,1993,853.0182741,21378.24626,0.039901228
AGO,1994,922.6295553,22305.87189,0.041362631
AGO,1995,520.1823261,11549.03621,0.045041189
AGO,1996,652.1319273,13745.77664,0.047442349
AGO,1997,759.6094908,17419.29155,0.04360737
AGO,1998,664.4831618,15614.71208,0.042554942
AGO,1999,688.8341773,14836.84228,0.046427276
AGO,2000,902.5186443,20043.42404,0.045028167
AGO,2001,1003.783824,22892.81469,0.043847113
AGO,2002,1160.143324,26142.30915,0.044377997
AGO,2003,1430.410388,32962.28822,0.043395361
AGO,2004,1994.64613,45500.27847,0.043838108
AGO,2005,3093.069828,69340.61298,0.044606901
AGO,2006,3826.831181,83669.55103,0.045737441
AGO,2007,5476.369335,124287.1888,0.044062219
AGO,2008,7569.539046,175021.8657,0.043249105
ALB,1990,214.218745,3606.464127,0.059398551
ALB,1991,170.9188224,2893.969677,0.059060336
ALB,1992,192.6272823,3439.247096,0.056008561
ALB,1993,207.8919391,3755.673302,0.055354106
ALB,1994,220.793522,3969.113008,0.055627925
ALB,1995,273.6102453,4943.699172,0.055345246
ALB,1996,362.6868466,6557.399598,0.055309554
ALB,1997,254.4976165,4683.370543,0.054340696
ALB,1998,301.0506792,5458.940509,0.055148188
ALB,1999,370.9825634,6554.261834,0.056601731
ALB,2000,376.2941867,6752.575537,0.055726024
ALB,2001,423.1108386,7486.598927,0.056515761
ALB,2002,469.7284555,8357.632984,0.056203528
ALB,2003,610.161168,10749.30296,0.056762859
ALB,2004,812.4575036,14101.62207,0.057614472
ALB,2005,914.5954844,15909.55209,0.057487193
ALB,2006,1030.84244,17820.12822,0.057847083
ALB,2007,1252.969978,21700.03286,0.057740465
ALB,2008,1507.018688,26535.39174,0.056792781
AND,1990,92.56060253,2288.257925,0.040450249
AND,1991,99.1997032,2458.1837,0.040354878
AND,1992,109.023091,2710.905108,0.040216491
AND,1993,92.23909726,2284.331084,0.04037904
AND,1994,94.12993792,2301.523803,0.040898963
AND,1995,108.6252457,2643.606569,0.041089793
AND,1996,112.4004287,2729.455261,0.041180535
AND,1997,105.8388819,2587.855241,0.040898301
AND,1998,108.3526778,2715.736621,0.03989808
AND,1999,110.5980539,2789.316011,0.0396506
AND,2000,101.2447989,2595.091651,0.039013959
AND,2001,112.618294,2844.290099,0.039594517
AND,2002,126.6701177,3178.62738,0.039850572
AND,2003,170.3475435,4255.703961,0.040028053
AND,2004,212.4954696,5309.15447,0.040024352
AND,2005,233.7210654,5834.17482,0.040060689
AND,2006,260.3936317,6468.483303,0.040255748
AND,2007,295.4855381,7380.730266,0.040034729
AND,2008,308.4485119,7777.825481,0.039657423
ANT,1990,368.5068956,3594.095037,0.102531205
ANT,1991,383.6517194,3773.832395,0.101661038
ANT,1992,408.8224376,4017.465906,0.101761271
ANT,1993,435.475743,4305.580223,0.101142174
ANT,1994,473.9938327,4704.865042,0.100745468
ANT,1995,499.670213,4968.445161,0.100568729
ANT,1996,516.857131,5172.792438,0.099918397
ANT,1997,525.3515664,5231.778342,0.100415486
ANT,1998,531.9689315,5291.740134,0.100528166
ANT,1999,530.433646,5340.481283,0.099323192
ANT,2000,548.4689296,5488.654904,0.099927749
ANT,2001,547.8635329,5482.156028,0.099935779
ANT,2002,555.6171772,5540.176332,0.100288717
ANT,2003,583.8589232,5704.641603,0.102348046
ANT,2004,720.560292,6232.842454,0.115607012
ANT,2005,773.9257357,6635.836571,0.116628209
ANT,2006,826.9336875,7017.016918,0.117846899
ANT,2007,912.2052299,7590.900602,0.120170883
ANT,2008,1027.933549,8390.390421,0.122513196
