country,t,outp,outpd%,outptt%
ABW,1990,15.41982913,0.334705944,0.440234674
ABW,1991,19.24442873,0.335763764,0.428840118
ABW,1992,19.48828457,0.293294319,0.431091212
ABW,1993,21.22782906,0.333290108,0.416093836
ABW,1994,25.13900742,0.367425185,0.395226059
ABW,1995,27.10450205,0.355633698,0.393081257
ABW,1996,32.04887739,0.37561861,0.385179799
ABW,1997,36.78276514,0.423079481,0.365660724
ABW,1998,43.72158707,0.494035314,0.326269765
ABW,1999,46.63614317,0.489617877,0.328517879
ABW,2000,50.41995867,0.548445912,0.298027079
ABW,2001,54.5973103,0.526393886,0.30692285
ABW,2002,56.01336137,0.534873312,0.302372758
ABW,2003,57.21968797,0.496451387,0.319391497
ABW,2004,63.11101847,0.461800681,0.332857332
ABW,2005,67.5748602,0.442365887,0.340601576
ABW,2006,70.91816199,0.429050605,0.342825399
ABW,2007,76.57945712,0.417925536,0.352084676
ABW,2008,81.18059418,0.389777876,0.361832722
AFG,1990,143.7144248,0.927096443,0.056250965
AFG,1991,131.7194314,0.912270966,0.06787027
AFG,1992,135.8076258,0.897002112,0.078715451
AFG,1993,104.9743104,0.873719244,0.097232164
AFG,1994,83.6620113,0.843442099,0.118897067
AFG,1995,126.2479475,0.859914312,0.106023972
AFG,1996,122.79695,0.851680391,0.11154802
AFG,1997,118.51187,0.834074711,0.123737707
AFG,1998,116.2660201,0.831209684,0.126669367
AFG,1999,108.9598696,0.811966927,0.141407439
AFG,2000,139.2962667,0.8019401,0.150431368
AFG,2001,145.2071218,0.844609745,0.115159836
AFG,2002,169.7607549,0.857767652,0.106198461
AFG,2003,203.4722294,0.843205528,0.116016548
AFG,2004,231.240613,0.841732766,0.116497147
AFG,2005,272.7278533,0.847031622,0.11315219
AFG,2006,332.2291797,0.847783468,0.112306258
AFG,2007,412.8886835,0.857455309,0.105418437
AFG,2008,442.3027091,0.876140654,0.089803655
AGO,1990,381.9640995,0.801102604,0.142153492
AGO,1991,455.6382497,0.792482861,0.14908066
AGO,1992,538.5382999,0.756269979,0.172079492
AGO,1993,403.2596369,0.729887673,0.190652031
AGO,1994,416.2939145,0.66077694,0.231847458
AGO,1995,208.8684836,0.52616819,0.297006946
AGO,1996,252.7414231,0.520217374,0.298303879
AGO,1997,309.1656165,0.599457682,0.261406492
