country,t,outp
ABW,1990,74.69955434
ABW,1991,83.80829594
ABW,1992,91.38582313
ABW,1993,98.83609626
ABW,1994,114.1004814
ABW,1995,117.9177773
ABW,1996,130.4518083
ABW,1997,142.6839066
ABW,1998,157.3861259
ABW,1999,168.3465516
ABW,2000,163.0187179
ABW,2001,162.5611529
ABW,2002,163.1262957
ABW,2003,171.2748547
ABW,2004,196.3034715
ABW,2005,214.2417692
ABW,2006,230.7742916
ABW,2007,251.1709923
ABW,2008,270.0233845
AFG,1990,247.7355273
AFG,1991,232.0690668
AFG,1992,245.1560144
AFG,1993,192.9745432
AFG,1994,159.0928829
AFG,1995,251.4274448
AFG,1996,243.7533226
AFG,1997,235.4576145
AFG,1998,230.7857529
AFG,1999,218.4020045
AFG,2000,279.496542
AFG,2001,290.5297283
AFG,2002,332.4084194
AFG,2003,410.0913352
AFG,2004,464.7967512
AFG,2005,544.3129024
AFG,2006,653.8461457
AFG,2007,826.5458433
AFG,2008,893.5432362
AGO,1990,769.6960448
AGO,1991,909.8428691
AGO,1992,1099.064232
AGO,1993,853.0182741
AGO,1994,922.6295553
AGO,1995,520.1823261
AGO,1996,652.1319273
AGO,1997,759.6094908
AGO,1998,664.4831618
AGO,1999,688.8341773
AGO,2000,902.5186443
AGO,2001,1003.783824
AGO,2002,1160.143324
AGO,2003,1430.410388
AGO,2004,1994.64613
AGO,2005,3093.069828
AGO,2006,3826.831181
AGO,2007,5476.369335
AGO,2008,7569.539046
ALB,1990,214.218745
ALB,1991,170.9188224
ALB,1992,192.6272823
ALB,1993,207.8919391
ALB,1994,220.793522
ALB,1995,273.6102453
ALB,1996,362.6868466
ALB,1997,254.4976165
ALB,1998,301.0506792
ALB,1999,370.9825634
ALB,2000,376.2941867
ALB,2001,423.1108386
ALB,2002,469.7284555
ALB,2003,610.161168
ALB,2004,812.4575036
ALB,2005,914.5954844
ALB,2006,1030.84244
ALB,2007,1252.969978
ALB,2008,1507.018688
AND,1990,92.56060253
AND,1991,99.1997032
AND,1992,109.023091
AND,1993,92.23909726
AND,1994,94.12993792
AND,1995,108.6252457
AND,1996,112.4004287
AND,1997,105.8388819
AND,1998,108.3526778
AND,1999,110.5980539
AND,2000,101.2447989
AND,2001,112.618294
AND,2002,126.6701177
AND,2003,170.3475435
AND,2004,212.4954696
AND,2005,233.7210654
AND,2006,260.3936317
AND,2007,295.4855381
AND,2008,308.4485119
ANT,1990,368.5068956
ANT,1991,383.6517194
ANT,1992,408.8224376
ANT,1993,435.475743
ANT,1994,473.9938327
ANT,1995,499.670213
ANT,1996,516.857131
ANT,1997,525.3515664
ANT,1998,531.9689315
ANT,1999,530.433646
ANT,2000,548.4689296
ANT,2001,547.8635329
ANT,2002,555.6171772
ANT,2003,583.8589232
ANT,2004,720.560292
ANT,2005,773.9257357
ANT,2006,826.9336875
ANT,2007,912.2052299
ANT,2008,1027.933549
ARE,1990,3560.208891
ARE,1991,5091.817823
ARE,1992,5068.979977
ARE,1993,4374.696878
ARE,1994,6095.882669
ARE,1995,6269.359438
ARE,1996,6338.167577
ARE,1997,5256.002295
ARE,1998,4349.848063
ARE,1999,6103.88144
ARE,2000,8695.262118
ARE,2001,8587.088046
ARE,2002,9496.986534
ARE,2003,11125.21906
ARE,2004,13375.83422
ARE,2005,15747.09761
ARE,2006,18984.73094
ARE,2007,23425.17557
ARE,2008,27208.00265
ARG,1990,12082.22162
ARG,1991,16296.71571
ARG,1992,19696.0558
ARG,1993,20062.26982
ARG,1994,21929.44356
ARG,1995,22073.3993
ARG,1996,23149.97313
ARG,1997,24926.04865
ARG,1998,25750.61063
ARG,1999,24547.31648
ARG,2000,24456.37066
ARG,2001,23275.23535
ARG,2002,8969.769299
ARG,2003,11384.17479
ARG,2004,13571.62866
ARG,2005,16195.95772
ARG,2006,18988.69856
ARG,2007,23313.01312
ARG,2008,29192.67045
ARM,1990,125305.0147
ARM,1991,80972.83639
ARM,1992,4781.565639
ARM,1993,9643.187384
ARM,1994,73.15554953
ARM,1995,101.0666208
ARM,1996,125.7658228
ARM,1997,130.903159
ARM,1998,147.0852983
ARM,1999,144.8651847
ARM,2000,153.4091207
ARM,2001,166.9656104
ARM,2002,183.979159
ARM,2003,213.0243683
ARM,2004,270.1374505
ARM,2005,351.8303186
ARM,2006,364.1845303
ARM,2007,523.0637866
ARM,2008,658.4815427
ATG,1990,52.40691024
ATG,1991,55.75351404
ATG,1992,57.17653728
ATG,1993,60.0897557
ATG,1994,68.17446015
ATG,1995,68.36195817
ATG,1996,72.23659939
ATG,1997,67.53101897
ATG,1998,66.18980741
