country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,outpd%,outptt%,gvco%,gvcobp%,gvcofp%,gvcomix%,outpd_diff,outptt_diff,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,Unnamed: 0,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
AUS,1,1965,wiodlr,7686.345963,4195.805154,2927.435519,563.1052887,22.56470466,78.8212842,461.7192998,0.545877739,0.380861795,0.073260466,0.002935687,0.010254715,0.060070065,,,,,,,756,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.030760184,0.09344818,0.004065574,0.158499,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000195161,0.000195154,-0.00047043,0.010875158
AUS,1,1966,wiodlr,9438.937013,5720.180001,3181.969572,536.7874397,21.86318261,84.02620881,430.8980482,0.606019512,0.337111008,0.05686948,0.002316276,0.008902084,0.04565112,0.060141773,-0.043750787,-0.016390986,-0.000619411,-0.001352631,-0.014418945,757,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.008808617,0.09363498,0.004252377,0.16024986,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000186801,0.000186803,0.001750857,-0.011076409
AUS,1,1967,wiodlr,7599.331848,4173.970377,2901.214121,524.1473491,19.2572905,79.12935272,425.7607059,0.549254916,0.381772264,0.06897282,0.002534077,0.010412672,0.056026071,-0.056764596,0.044661256,0.01210334,0.000217801,0.001510588,0.010374951,758,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.047988605,0.0938196,0.004437002,0.14453027,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000184625,0.000184625,-0.015719593,0.028103579
AUS,1,1968,wiodlr,9531.42476,5971.225218,3050.041055,510.1584867,25.22356801,75.33492302,409.5999957,0.626477716,0.31999844,0.053523843,0.002646359,0.007903847,0.042973638,0.0772228,-0.061773824,-0.015448977,0.000112282,-0.002508825,-0.013052433,759,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.038718663,0.09401098,0.00462838,0.14261158,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000191376,0.000191377,-0.001918688,0.018833637
AUS,1,1969,wiodlr,9038.453161,5435.967168,3072.704546,529.7814477,23.39010556,83.29804014,423.093302,0.601426712,0.339959116,0.058614172,0.002587844,0.009215962,0.046810366,-0.025051004,0.019960676,0.005090329,-5.8515e-05,0.001312115,0.003836728,760,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.037018225,0.09423788,0.004855278,0.15658556,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.0002269,0.000226899,0.013973981,0.017133199
AUS,1,1970,wiodlr,8047.026778,4747.220464,2804.690438,495.1158764,23.04603812,75.54957572,396.5202626,0.589934717,0.34853748,0.061527803,0.00286392,0.009388508,0.049275375,-0.011491995,0.008578364,0.002913631,0.000276076,0.000172546,0.002465009,761,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.040009513,0.09446216,0.005079554,0.157958,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000224277,0.000224276,0.001372442,0.020124488
AUS,1,1971,wiodlr,8941.238067,5238.244284,3172.064762,530.9290213,27.37055733,90.7272042,412.8312597,0.585852233,0.354767957,0.05937981,0.00306116,0.010147052,0.046171599,-0.004082484,0.006230477,-0.002147993,0.00019724,0.000758544,-0.003103776,762,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.02212131,0.094678625,0.005296022,0.15192595,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000216469,0.000216468,-0.00603205,0.002236284
AUS,1,1972,wiodlr,10301.71613,5963.116767,3797.5375,541.0618667,22.65865993,130.4697262,387.9334806,0.578846931,0.368631542,0.052521527,0.002199503,0.012664854,0.03765717,-0.007005302,0.013863585,-0.006858283,-0.000861657,0.002517802,-0.008514429,763,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.009349063,0.09486228,0.005479682,0.15795827,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000183657,0.00018366,0.006032318,-0.010535963
AUS,1,1973,wiodlr,13006.15983,7803.183672,4582.388997,620.5871564,28.2357019,197.5214276,394.8300269,0.599960617,0.352324518,0.047714865,0.002170948,0.01518676,0.030357156,0.021113686,-0.016307024,-0.004806662,-2.8555e-05,0.002521906,-0.007300014,764,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.03818582,0.095015466,0.005632863,0.15375116,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000153184,0.000153181,-0.004207104,0.018300794
AUS,1,1974,wiodlr,10408.27725,5276.14323,4374.488362,757.6456626,24.65923624,296.4504204,436.5360059,0.506918014,0.420289377,0.07279261,0.002369195,0.028482179,0.041941235,-0.093042603,0.067964859,0.025077745,0.000198247,0.013295419,0.011584079,765,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.00831134,0.09517759,0.005794989,0.15029821,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000162125,0.000162127,-0.003452957,-0.011573686
