country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix,outpd%,outptt%,gvco%,gvcobp%,gvcofp%,gvcomix%,outpd_diff,outptt_diff,gvco_diff,gvcobp_diff,gvcofp_diff,gvcomix_diff,Unnamed: 0,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
AUS,1,2000,wiodn,28947.27609,13790.28748,11810.25208,3346.736526,173.6021425,782.66862,2390.465763,0.476393269,0.407991828,0.115614903,0.005997184,0.027037729,0.08257999,,,,,,,791,0.0,0.0,0.0,0.0,0.0,,1.8,8.0,0.007424443,0.0985498,0.009167199,0.16618338,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.0,0.000117734,0.000117732,-0.012746543,-0.012460584
AUS,1,2001,wiodn,30957.11669,15672.74136,11971.57705,3312.798277,163.4292586,809.3848934,2339.984125,0.506272645,0.38671486,0.107012494,0.005279214,0.026145358,0.075587922,0.029879376,-0.021276968,-0.008602409,-0.00071797,-0.000892371,-0.006992068,792,0.0,0.0,0.0,0.0,0.0,,1.8,8.0,0.024800174,0.0986755,0.009292895,0.16558217,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.0,0.000125699,0.000125696,-0.000601217,0.004915148
AUS,1,2002,wiodn,25291.87753,12198.63064,10238.66029,2854.586611,155.7450138,673.2532502,2025.588347,0.482314159,0.404820096,0.112865745,0.006157906,0.026619346,0.080088493,-0.023958486,0.018105236,0.005853251,0.000878692,0.000473988,0.004500571,793,0.0,0.0,0.0,0.0,0.0,,1.9,8.0,0.028717106,0.098701894,0.009319292,0.17138098,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.100000024,2.64e-05,2.64e-05,0.005798817,0.00883208
AUS,1,2003,wiodn,34889.28923,20414.40335,11477.82568,2997.060196,181.6631836,683.2197733,2132.177239,0.585119497,0.32897849,0.085902014,0.005206847,0.019582508,0.061112659,0.102805338,-0.075841606,-0.026963731,-0.000951059,-0.007036838,-0.018975834,794,0.0,0.0,,0.0,0.0,,1.8,8.0,0.018393397,0.09891769,0.009535092,0.17310178,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,-0.100000024,0.000215799,0.0002158,0.001720801,-0.001491629
AUS,1,2004,wiodn,39645.04049,19848.15776,15253.99178,4542.890944,216.7728957,1122.856118,3203.26193,0.500646677,0.384764187,0.114589136,0.005467844,0.028322739,0.080798554,-0.08447282,0.055785697,0.028687122,0.000260997,0.008740231,0.019685895,795,0.0,0.0,,0.0,0.0,,,8.0,0.012315282,0.09903237,0.009649775,0.1778644,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000114679,0.000114683,0.00476262,-0.007569744
AUS,1,2005,wiodn,42011.46879,22691.79277,14880.72493,4438.951085,247.5861793,1028.319452,3163.045454,0.540133288,0.354206253,0.105660459,0.0058933,0.024477113,0.075290047,0.039486611,-0.030557934,-0.008928677,0.000425456,-0.003845626,-0.005508507,796,0.0,0.0,,0.0,0.0,,,8.0,0.01595699,0.09915021,0.009767609,0.1877266,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,,0.000117838,0.000117834,0.009862199,-0.003928036
AUS,1,2006,wiodn,36428.00577,19147.12781,13063.99378,4216.88419,262.2533641,980.9199934,2973.710832,0.525615592,0.358625006,0.115759403,0.007199224,0.026927634,0.081632545,-0.014517696,0.004418753,0.010098944,0.001305924,0.002450521,0.006342498,797,,0.0,,0.0,0.0,,,8.0,0.015106168,0.09927643,0.009893835,0.16658282,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,,,0.00012622,0.000126226,-0.02114378,-0.004778858
AUS,1,2007,wiodn,46224.03516,26880.58605,14667.50185,4675.947253,334.4982073,1012.302461,3329.146585,0.581528332,0.317313315,0.101158353,0.007236456,0.021899915,0.072021981,0.05591274,-0.041311691,-0.01460105,3.7232E-05,-0.005027719,-0.009610564,798,,,,0.0,0.0,,,8.0,0.026918026,0.099403016,0.010020416,0.17276143,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,,,0.000126585,0.000126582,0.006178603,0.007033
AUS,1,2008,wiodn,50075.76546,28099.79681,16436.0683,5539.900362,389.1778179,1236.933852,3913.788693,0.561145627,0.328224005,0.110630368,0.00777178,0.024701247,0.078157341,-0.020382705,0.01091069,0.009472015,0.000535324,0.002801332,0.00613536,799,,,,0.0,0.0,,,8.0,0.0114741,0.09952611,0.010143511,0.18445252,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,,,0.000123091,0.000123095,0.011691093,-0.008410926
AUS,2,2000,wiodn,1506.024198,917.2953315,411.6030814,177.1257855,7.054054497,26.75850706,143.313224,0.609084059,0.273304428,0.117611514,0.004683892,0.017767647,0.095159974,,,,,,,791,0.0,0.0,0.0,0.0,0.0,,1.8,8.0,0.007424443,0.0985498,0.009167199,0.16618338,0.01,0.007419373,0.000929,0.008211,0.003349,0.01,0.0,0.0,0.000117734,0.000117732,-0.012746543,-0.012460584
